"UniqueFileSources","id","MQScore","cosine_score"
"P193-3-EA.mzXML","154738","0.032082599999999996",NA
"P193-3-EA.mzXML","164971","0.0820332",0.9259
"P193-3-EA.mzXML","167655","0.80609",0.7924
"P193-3-EA.mzXML","167655","0.80609",0.7876
"P193-3-EA.mzXML","167655","0.80609",0.7613
"P193-3-EA.mzXML","181542","0.9743729999999999",0.7876
"P193-3-EA.mzXML","181542","0.9743729999999999",0.8219
"P193-3-EA.mzXML","181542","0.9743729999999999",0.7693
"P193-3-EA.mzXML","181542","0.9743729999999999",0.9894
"P193-3-EA.mzXML","181542","0.9743729999999999",0.8691
"P193-3-EA.mzXML","187629","0.163322",NA
"P193-3-EA.mzXML","201308","0.308116",0.893
"P193-3-EA.mzXML","201308","0.308116",0.9692
"P193-3-EA.mzXML","201476","0.34685",0.9259
"P193-3-EA.mzXML","270201","0.196409",NA
"P193-3-EA.mzXML","271862","0.100175",NA
"P193-3-EA.mzXML","278067","0.293106",NA
"P193-3-EA.mzXML","278070","0.629947",NA
"P193-3-EA.mzXML","296757","0.189937",0.9476
"P193-3-EA.mzXML","298790","0.12572",0.9476
"P193-3-EA.mzXML","303513","0.50392",NA
"P193-3-EA.mzXML","306932","0.06530520000000001",NA
"P193-3-EA.mzXML","314438","0.118523",0.894
"P193-3-EA.mzXML","314439","0.019784",0.785
"P193-3-EA.mzXML","317520","0.161592",NA
"P193-3-EA.mzXML","317632","0.174361",NA
