"UniqueFileSources","id","MQScore","cosine_score"
"Q768-3-Bu.mzXML","111727","0.11285899999999999",NA
"Q768-3-Bu.mzXML","11275","0.022946099999999997",NA
"Q768-3-Bu.mzXML","118562","0.0129219",0.9172
"Q768-3-Bu.mzXML","118562","0.0129219",0.8188
"Q768-3-Bu.mzXML","118562","0.0129219",0.9611
"Q768-3-Bu.mzXML","118562","0.0129219",0.8976
"Q768-3-Bu.mzXML","151938","0.020799400000000003",NA
"Q768-3-Bu.mzXML","152451","0.0107929",NA
"Q768-3-Bu.mzXML","154858","0.0295748",NA
"Q768-3-Bu.mzXML","155772","0.214858",NA
"Q768-3-Bu.mzXML","164129","0.347326",0.9567
"Q768-3-Bu.mzXML","164129","0.347326",0.8697
"Q768-3-Bu.mzXML","164129","0.347326",0.8872
"Q768-3-Bu.mzXML","164129","0.347326",0.8106
"Q768-3-Bu.mzXML","164361","0.0730614",NA
"Q768-3-Bu.mzXML","173849","0.571681",NA
"Q768-3-Bu.mzXML","174538","0.21622800000000003",0.827
"Q768-3-Bu.mzXML","174878","0.0804183",NA
"Q768-3-Bu.mzXML","186781","0.11407300000000001",NA
"Q768-3-Bu.mzXML","186782","0.0833483",NA
"Q768-3-Bu.mzXML","19586","0.07589",0.8146
"Q768-3-Bu.mzXML","19586","0.07589",0.7232
"Q768-3-Bu.mzXML","19586","0.07589",0.888
"Q768-3-Bu.mzXML","19586","0.07589",0.7904
"Q768-3-Bu.mzXML","19586","0.07589",0.8078
"Q768-3-Bu.mzXML","200045","0.15701400000000001",NA
"Q768-3-Bu.mzXML","201455","0.0484335",NA
"Q768-3-Bu.mzXML","2379","0.719827",NA
"Q768-3-Bu.mzXML","248636","0.159028",0.8177
"Q768-3-Bu.mzXML","300482","0.0360284",0.9414
"Q768-3-Bu.mzXML","318339","0.027210200000000004",NA
"Q768-3-Bu.mzXML","318342","0.025880700000000003",NA
"Q768-3-Bu.mzXML","320339","0.056330899999999996",NA
"Q768-3-Bu.mzXML","320361","0.0851566",NA
"Q768-3-Bu.mzXML","322975","0.180173",NA
"Q768-3-Bu.mzXML","326376","0.0449359",0.9334
"Q768-3-Bu.mzXML","326437","0.0558393",NA
"Q768-3-Bu.mzXML","327587","0.517347",0.9386
"Q768-3-Bu.mzXML","327593","0.762069",0.952
"Q768-3-Bu.mzXML","327593","0.762069",0.9716
"Q768-3-Bu.mzXML","327593","0.762069",0.9736
"Q768-3-Bu.mzXML","327593","0.762069",0.9387
"Q768-3-Bu.mzXML","327593","0.762069",0.935
"Q768-3-Bu.mzXML","327593","0.762069",0.9432
"Q768-3-Bu.mzXML","327593","0.762069",0.9375
"Q768-3-Bu.mzXML","327593","0.762069",0.9618
"Q768-3-Bu.mzXML","329457","0.033427099999999994",NA
"Q768-3-Bu.mzXML","329458","0.058787099999999995",NA
"Q768-3-Bu.mzXML","329460","0.12708",NA
"Q768-3-Bu.mzXML","329480","0.14419500000000002",NA
"Q768-3-Bu.mzXML","334630","0.031209399999999998",NA
"Q768-3-Bu.mzXML","335098","0.184616",NA
"Q768-3-Bu.mzXML","338184","0.793084",0.9346
"Q768-3-Bu.mzXML","338184","0.793084",0.9753
"Q768-3-Bu.mzXML","338184","0.793084",0.9387
"Q768-3-Bu.mzXML","338184","0.793084",0.9618
"Q768-3-Bu.mzXML","338184","0.793084",0.9416
"Q768-3-Bu.mzXML","338184","0.793084",0.9484
"Q768-3-Bu.mzXML","338184","0.793084",0.964
"Q768-3-Bu.mzXML","338184","0.793084",0.9386
"Q768-3-Bu.mzXML","338186","0.802334",0.9488
"Q768-3-Bu.mzXML","338186","0.802334",0.9737
"Q768-3-Bu.mzXML","338186","0.802334",0.9619
"Q768-3-Bu.mzXML","338186","0.802334",0.9725
"Q768-3-Bu.mzXML","338186","0.802334",0.9522
"Q768-3-Bu.mzXML","338186","0.802334",0.9435
"Q768-3-Bu.mzXML","338186","0.802334",0.9743
"Q768-3-Bu.mzXML","338186","0.802334",0.952
"Q768-3-Bu.mzXML","338186","0.802334",0.9416
"Q768-3-Bu.mzXML","338186","0.802334",0.9346
"Q768-3-Bu.mzXML","338187","0.77386",0.9619
"Q768-3-Bu.mzXML","338187","0.77386",0.941
"Q768-3-Bu.mzXML","338187","0.77386",0.951
"Q768-3-Bu.mzXML","338187","0.77386",0.9516
"Q768-3-Bu.mzXML","338187","0.77386",0.956
"Q768-3-Bu.mzXML","338187","0.77386",0.9785
"Q768-3-Bu.mzXML","338187","0.77386",0.9849
"Q768-3-Bu.mzXML","338187","0.77386",0.9761
"Q768-3-Bu.mzXML","338187","0.77386",0.9375
"Q768-3-Bu.mzXML","338187","0.77386",0.9418
"Q768-3-Bu.mzXML","338190","0.777675",0.9849
"Q768-3-Bu.mzXML","338190","0.777675",0.9572
"Q768-3-Bu.mzXML","338190","0.777675",0.9542
"Q768-3-Bu.mzXML","338190","0.777675",0.9743
"Q768-3-Bu.mzXML","338190","0.777675",0.9432
"Q768-3-Bu.mzXML","338190","0.777675",0.9538
"Q768-3-Bu.mzXML","338190","0.777675",0.9864
"Q768-3-Bu.mzXML","338190","0.777675",0.9484
"Q768-3-Bu.mzXML","338190","0.777675",0.9896
