"UniqueFileSources","id","MQScore","cosine_score"
"Q884-3-EA.mzXML","155481","0.0505157",0.9318
"Q884-3-EA.mzXML","167655","0.80609",0.7924
"Q884-3-EA.mzXML","167655","0.80609",0.7876
"Q884-3-EA.mzXML","167655","0.80609",0.7613
"Q884-3-EA.mzXML","181515","0.721566",0.9404
"Q884-3-EA.mzXML","181515","0.721566",0.8404
"Q884-3-EA.mzXML","181515","0.721566",0.8161
"Q884-3-EA.mzXML","181515","0.721566",0.8933
"Q884-3-EA.mzXML","181515","0.721566",0.9035
"Q884-3-EA.mzXML","181515","0.721566",0.9873
"Q884-3-EA.mzXML","181515","0.721566",0.815
"Q884-3-EA.mzXML","181515","0.721566",0.9137
"Q884-3-EA.mzXML","181515","0.721566",0.9832
"Q884-3-EA.mzXML","181515","0.721566",0.8174
"Q884-3-EA.mzXML","186486","0.207186",0.7889
"Q884-3-EA.mzXML","189577","0.198228",NA
"Q884-3-EA.mzXML","199131","0.121004",0.7745
"Q884-3-EA.mzXML","199131","0.121004",0.8458
"Q884-3-EA.mzXML","240930","0.0984455",0.8331
"Q884-3-EA.mzXML","240930","0.0984455",0.9149
"Q884-3-EA.mzXML","298790","0.12572",0.9476
"Q884-3-EA.mzXML","326685","0.486385",NA
"Q884-3-EA.mzXML","81519","0.0724879",0.9693
"Q884-3-EA.mzXML","81519","0.0724879",0.9536
"Q884-3-EA.mzXML","81522","0.03595159999999999",0.9693
"Q884-3-EA.mzXML","81522","0.03595159999999999",0.952
"Q884-3-EA.mzXML","81523","0.106572",0.952
"Q884-3-EA.mzXML","81523","0.106572",0.9536
