"UniqueFileSources","id","MQScore","cosine_score"
"R551-3-Bu.mzXML","123897","0.13081900000000002",0.7288
"R551-3-Bu.mzXML","139564","0.120126",0.7288
"R551-3-Bu.mzXML","152451","0.0107929",NA
"R551-3-Bu.mzXML","153097","0.061246400000000006",NA
"R551-3-Bu.mzXML","153125","0.0495463",NA
"R551-3-Bu.mzXML","153126","0.0523256",NA
"R551-3-Bu.mzXML","154859","0.011986799999999999",NA
"R551-3-Bu.mzXML","156024","0.276318",0.9628
"R551-3-Bu.mzXML","156024","0.276318",0.9492
"R551-3-Bu.mzXML","156024","0.276318",0.9814
"R551-3-Bu.mzXML","156024","0.276318",0.9537
"R551-3-Bu.mzXML","156024","0.276318",0.9827
"R551-3-Bu.mzXML","156024","0.276318",0.9631
"R551-3-Bu.mzXML","156046","0.27875900000000003",0.9356
"R551-3-Bu.mzXML","156046","0.27875900000000003",0.952
"R551-3-Bu.mzXML","156046","0.27875900000000003",0.9555
"R551-3-Bu.mzXML","156046","0.27875900000000003",0.969
"R551-3-Bu.mzXML","156046","0.27875900000000003",0.9827
"R551-3-Bu.mzXML","156046","0.27875900000000003",0.9342
"R551-3-Bu.mzXML","156047","0.296426",0.9492
"R551-3-Bu.mzXML","156047","0.296426",0.919
"R551-3-Bu.mzXML","156047","0.296426",0.9174
"R551-3-Bu.mzXML","156047","0.296426",0.9211
"R551-3-Bu.mzXML","156047","0.296426",0.9342
"R551-3-Bu.mzXML","156047","0.296426",0.9267
"R551-3-Bu.mzXML","156052","0.180873",0.9814
"R551-3-Bu.mzXML","156052","0.180873",0.9479
"R551-3-Bu.mzXML","156052","0.180873",0.9569
"R551-3-Bu.mzXML","156052","0.180873",0.9267
"R551-3-Bu.mzXML","156052","0.180873",0.969
"R551-3-Bu.mzXML","156052","0.180873",0.9423
"R551-3-Bu.mzXML","156053","0.24059499999999998",0.952
"R551-3-Bu.mzXML","156053","0.24059499999999998",0.9211
"R551-3-Bu.mzXML","156053","0.24059499999999998",0.9628
"R551-3-Bu.mzXML","156053","0.24059499999999998",0.944
"R551-3-Bu.mzXML","156053","0.24059499999999998",0.9423
"R551-3-Bu.mzXML","156053","0.24059499999999998",0.941
"R551-3-Bu.mzXML","156055","0.280041",0.9281
"R551-3-Bu.mzXML","156055","0.280041",0.9631
"R551-3-Bu.mzXML","156055","0.280041",0.9174
"R551-3-Bu.mzXML","156055","0.280041",0.9569
"R551-3-Bu.mzXML","156055","0.280041",0.944
"R551-3-Bu.mzXML","156055","0.280041",0.9555
"R551-3-Bu.mzXML","156064","0.233656",0.9356
"R551-3-Bu.mzXML","156064","0.233656",0.9281
"R551-3-Bu.mzXML","156064","0.233656",0.9537
"R551-3-Bu.mzXML","156064","0.233656",0.9479
"R551-3-Bu.mzXML","156064","0.233656",0.941
"R551-3-Bu.mzXML","156064","0.233656",0.919
"R551-3-Bu.mzXML","157301","0.743962",0.8328
"R551-3-Bu.mzXML","157314","0.745672",0.8328
"R551-3-Bu.mzXML","157314","0.745672",0.875
"R551-3-Bu.mzXML","157314","0.745672",0.8408
"R551-3-Bu.mzXML","159146","0.097295",0.9482
"R551-3-Bu.mzXML","159146","0.097295",0.9438
"R551-3-Bu.mzXML","159146","0.097295",0.9447
"R551-3-Bu.mzXML","162659","0.5892189999999999",0.9182
"R551-3-Bu.mzXML","162659","0.5892189999999999",0.9025
"R551-3-Bu.mzXML","164129","0.347326",0.9567
