"UniqueFileSources","id","MQScore","cosine_score"
"R921-3-Me.mzXML","111357","0.19653900000000002",NA
"R921-3-Me.mzXML","111741","0.038655400000000006",NA
"R921-3-Me.mzXML","119064","0.08530549999999999",0.7856
"R921-3-Me.mzXML","119064","0.08530549999999999",0.7318
"R921-3-Me.mzXML","119246","0.272498",NA
"R921-3-Me.mzXML","119248","0.260205",NA
"R921-3-Me.mzXML","125109","0.0355788",0.7155
"R921-3-Me.mzXML","154716","0.0354309",NA
"R921-3-Me.mzXML","155435","0.115008",0.8665
"R921-3-Me.mzXML","158371","0.860814",NA
"R921-3-Me.mzXML","159145","0.0957489",0.9482
"R921-3-Me.mzXML","159145","0.0957489",0.9363
"R921-3-Me.mzXML","159259","0.09955839999999999",0.9334
"R921-3-Me.mzXML","159259","0.09955839999999999",0.9363
"R921-3-Me.mzXML","159259","0.09955839999999999",0.9438
"R921-3-Me.mzXML","167655","0.80609",0.7924
"R921-3-Me.mzXML","167655","0.80609",0.7876
"R921-3-Me.mzXML","167655","0.80609",0.7613
"R921-3-Me.mzXML","168020","0.0650102",NA
"R921-3-Me.mzXML","174998","0.071383",NA
"R921-3-Me.mzXML","181515","0.721566",0.9404
"R921-3-Me.mzXML","181515","0.721566",0.8404
"R921-3-Me.mzXML","181515","0.721566",0.8161
"R921-3-Me.mzXML","181515","0.721566",0.8933
"R921-3-Me.mzXML","181515","0.721566",0.9035
"R921-3-Me.mzXML","181515","0.721566",0.9873
"R921-3-Me.mzXML","181515","0.721566",0.815
"R921-3-Me.mzXML","181515","0.721566",0.9137
"R921-3-Me.mzXML","181515","0.721566",0.9832
"R921-3-Me.mzXML","181515","0.721566",0.8174
"R921-3-Me.mzXML","181517","0.799732",0.8902
"R921-3-Me.mzXML","181517","0.799732",0.891
"R921-3-Me.mzXML","181517","0.799732",0.9039
"R921-3-Me.mzXML","181517","0.799732",0.9283
"R921-3-Me.mzXML","181517","0.799732",0.9806
"R921-3-Me.mzXML","181517","0.799732",0.8258
"R921-3-Me.mzXML","181517","0.799732",0.8691
"R921-3-Me.mzXML","181517","0.799732",0.831
"R921-3-Me.mzXML","181517","0.799732",0.9873
"R921-3-Me.mzXML","181518","0.744989",0.8219
"R921-3-Me.mzXML","181518","0.744989",0.8927
"R921-3-Me.mzXML","181518","0.744989",0.9245
"R921-3-Me.mzXML","181518","0.744989",0.9806
"R921-3-Me.mzXML","181518","0.744989",0.8172
"R921-3-Me.mzXML","181518","0.744989",0.8945
"R921-3-Me.mzXML","181518","0.744989",0.9832
"R921-3-Me.mzXML","181518","0.744989",0.9042
"R921-3-Me.mzXML","181518","0.744989",0.8247
"R921-3-Me.mzXML","183348","0.142002",0.8011
"R921-3-Me.mzXML","183348","0.142002",0.7338
"R921-3-Me.mzXML","183358","0.0995681",NA
"R921-3-Me.mzXML","183875","0.317397",0.8765
"R921-3-Me.mzXML","183875","0.317397",0.8456
"R921-3-Me.mzXML","183875","0.317397",0.7999
"R921-3-Me.mzXML","183908","0.121887",0.7991
"R921-3-Me.mzXML","183908","0.121887",0.8765
"R921-3-Me.mzXML","183908","0.121887",0.8011
"R921-3-Me.mzXML","183908","0.121887",0.7944
"R921-3-Me.mzXML","183908","0.121887",0.7889
"R921-3-Me.mzXML","186572","0.031247300000000002",0.9769
"R921-3-Me.mzXML","186572","0.031247300000000002",0.9615
"R921-3-Me.mzXML","186573","0.149428",0.9454
"R921-3-Me.mzXML","186573","0.149428",0.9769
"R921-3-Me.mzXML","19601","0.118301",0.8078
"R921-3-Me.mzXML","19604","0.025146599999999998",0.71
"R921-3-Me.mzXML","19604","0.025146599999999998",0.8146
"R921-3-Me.mzXML","19604","0.025146599999999998",0.8536
"R921-3-Me.mzXML","19604","0.025146599999999998",0.7918
"R921-3-Me.mzXML","19703","0.0659732",NA
"R921-3-Me.mzXML","199131","0.121004",0.7745
"R921-3-Me.mzXML","199131","0.121004",0.8458
"R921-3-Me.mzXML","200544","0.251899",NA
"R921-3-Me.mzXML","210463","0.100311",0.8732
"R921-3-Me.mzXML","240930","0.0984455",0.8331
"R921-3-Me.mzXML","240930","0.0984455",0.9149
"R921-3-Me.mzXML","248211","0.131271",NA
"R921-3-Me.mzXML","248255","0.0551377",0.8179
"R921-3-Me.mzXML","248255","0.0551377",0.8338
"R921-3-Me.mzXML","248296","0.131716",NA
"R921-3-Me.mzXML","248636","0.159028",0.8177
"R921-3-Me.mzXML","254","0.014247399999999999",0.9187
"R921-3-Me.mzXML","254","0.014247399999999999",0.8733
"R921-3-Me.mzXML","254","0.014247399999999999",0.876
"R921-3-Me.mzXML","254","0.014247399999999999",0.8533
"R921-3-Me.mzXML","254","0.014247399999999999",0.7957
"R921-3-Me.mzXML","257078","0.0828557",0.8333
"R921-3-Me.mzXML","257078","0.0828557",0.8428
"R921-3-Me.mzXML","257949","0.030415300000000003",0.7285
"R921-3-Me.mzXML","270793","0.046506599999999995",0.9146
"R921-3-Me.mzXML","270798","0.0600235",0.9146
"R921-3-Me.mzXML","275099","0.065737",0.9763
"R921-3-Me.mzXML","275099","0.065737",0.9832
"R921-3-Me.mzXML","275099","0.065737",0.9814
"R921-3-Me.mzXML","292488","0.0598947",0.8653
"R921-3-Me.mzXML","322282","0.899517",0.956
"R921-3-Me.mzXML","322282","0.899517",0.934
"R921-3-Me.mzXML","322282","0.899517",0.9706
"R921-3-Me.mzXML","322282","0.899517",0.9551
"R921-3-Me.mzXML","322282","0.899517",0.975
"R921-3-Me.mzXML","322282","0.899517",0.9403
"R921-3-Me.mzXML","322282","0.899517",0.9665
"R921-3-Me.mzXML","322282","0.899517",0.9417
"R921-3-Me.mzXML","322286","0.886922",0.9343
"R921-3-Me.mzXML","322286","0.886922",0.9551
"R921-3-Me.mzXML","322286","0.886922",0.9525
"R921-3-Me.mzXML","322286","0.886922",0.9426
"R921-3-Me.mzXML","322286","0.886922",0.9133
"R921-3-Me.mzXML","322287","0.904993",0.9509
"R921-3-Me.mzXML","322287","0.904993",0.9236
"R921-3-Me.mzXML","322287","0.904993",0.9426
"R921-3-Me.mzXML","322287","0.904993",0.9706
"R921-3-Me.mzXML","322287","0.904993",0.9544
"R921-3-Me.mzXML","322287","0.904993",0.9412
"R921-3-Me.mzXML","322287","0.904993",0.9388
