"UniqueFileSources","id","MQScore","cosine_score"
"S996-3-Me.mzXML","111395","0.135122",NA
"S996-3-Me.mzXML","111398","0.0483063",NA
"S996-3-Me.mzXML","111409","0.11391300000000001",NA
"S996-3-Me.mzXML","111499","0.0855896",NA
"S996-3-Me.mzXML","11386","0.27881999999999996",0.7501
"S996-3-Me.mzXML","11386","0.27881999999999996",0.8276
"S996-3-Me.mzXML","118548","0.0295233",0.9309
"S996-3-Me.mzXML","118548","0.0295233",0.9568
"S996-3-Me.mzXML","118548","0.0295233",0.9616
"S996-3-Me.mzXML","119064","0.08530549999999999",0.7856
"S996-3-Me.mzXML","119064","0.08530549999999999",0.7318
"S996-3-Me.mzXML","139674","0.0725548",NA
"S996-3-Me.mzXML","153138","0.0360346",NA
"S996-3-Me.mzXML","154636","0.105001",NA
"S996-3-Me.mzXML","164039","0.12176300000000001",NA
"S996-3-Me.mzXML","164050","0.07695980000000001",NA
"S996-3-Me.mzXML","170108","0.0379196",0.8599
"S996-3-Me.mzXML","183768","0.253828",NA
"S996-3-Me.mzXML","186486","0.207186",0.7889
"S996-3-Me.mzXML","186794","0.154473",NA
"S996-3-Me.mzXML","187047","0.249489",NA
"S996-3-Me.mzXML","187888","0.0230359",NA
"S996-3-Me.mzXML","188167","0.0331339",NA
"S996-3-Me.mzXML","189256","0.0447554",0.8216
"S996-3-Me.mzXML","189267","0.12401600000000002",0.8216
"S996-3-Me.mzXML","19516","0.0861163",0.808
"S996-3-Me.mzXML","19516","0.0861163",0.8357
"S996-3-Me.mzXML","19516","0.0861163",0.8127
"S996-3-Me.mzXML","19516","0.0861163",0.8536
"S996-3-Me.mzXML","19516","0.0861163",0.888
"S996-3-Me.mzXML","19516","0.0861163",0.7703
"S996-3-Me.mzXML","19586","0.07589",0.8146
"S996-3-Me.mzXML","19586","0.07589",0.7232
"S996-3-Me.mzXML","19586","0.07589",0.888
"S996-3-Me.mzXML","19586","0.07589",0.7904
"S996-3-Me.mzXML","19586","0.07589",0.8078
"S996-3-Me.mzXML","19603","0.0774242",0.8357
"S996-3-Me.mzXML","19603","0.0774242",0.7904
"S996-3-Me.mzXML","19603","0.0774242",0.7918
"S996-3-Me.mzXML","19723","0.0761908",0.7049
"S996-3-Me.mzXML","19723","0.0761908",0.8127
"S996-3-Me.mzXML","200536","0.11048599999999999",NA
"S996-3-Me.mzXML","200542","0.0179173",NA
"S996-3-Me.mzXML","202994","0.758406",NA
"S996-3-Me.mzXML","202999","0.7463569999999999",NA
"S996-3-Me.mzXML","203212","0.0112136",NA
"S996-3-Me.mzXML","214140","0.0857882",0.8934
"S996-3-Me.mzXML","214140","0.0857882",0.7157
"S996-3-Me.mzXML","214140","0.0857882",0.8119
"S996-3-Me.mzXML","214140","0.0857882",0.7544
"S996-3-Me.mzXML","214163","0.28294",0.7544
"S996-3-Me.mzXML","214163","0.28294",0.7521
"S996-3-Me.mzXML","215575","0.184227",0.8712
"S996-3-Me.mzXML","215575","0.184227",0.8338
"S996-3-Me.mzXML","215579","0.17236400000000002",0.8179
"S996-3-Me.mzXML","215579","0.17236400000000002",0.8712
"S996-3-Me.mzXML","221970","0.107154",NA
"S996-3-Me.mzXML","222991","0.09961410000000001",NA
"S996-3-Me.mzXML","223633","0.0313655",0.9873
"S996-3-Me.mzXML","223633","0.0313655",0.9612
"S996-3-Me.mzXML","223633","0.0313655",0.9844
"S996-3-Me.mzXML","243230","0.0184277",NA
"S996-3-Me.mzXML","247876","0.0781438",0.8532
"S996-3-Me.mzXML","247876","0.0781438",0.8185
"S996-3-Me.mzXML","247986","0.171544",NA
"S996-3-Me.mzXML","247994","0.174304",NA
"S996-3-Me.mzXML","248255","0.0551377",0.8179
"S996-3-Me.mzXML","248255","0.0551377",0.8338
"S996-3-Me.mzXML","248636","0.159028",0.8177
"S996-3-Me.mzXML","257078","0.0828557",0.8333
"S996-3-Me.mzXML","257078","0.0828557",0.8428
"S996-3-Me.mzXML","270793","0.046506599999999995",0.9146
"S996-3-Me.mzXML","270798","0.0600235",0.9146
"S996-3-Me.mzXML","282932","0.03553080000000001",0.7302
"S996-3-Me.mzXML","283035","0.18446500000000002",0.7302
"S996-3-Me.mzXML","327587","0.517347",0.9386
"S996-3-Me.mzXML","327593","0.762069",0.952
"S996-3-Me.mzXML","327593","0.762069",0.9716
"S996-3-Me.mzXML","327593","0.762069",0.9736
"S996-3-Me.mzXML","327593","0.762069",0.9387
"S996-3-Me.mzXML","327593","0.762069",0.935
"S996-3-Me.mzXML","327593","0.762069",0.9432
"S996-3-Me.mzXML","327593","0.762069",0.9375
"S996-3-Me.mzXML","327593","0.762069",0.9618
"S996-3-Me.mzXML","327608","0.757645",0.9425
"S996-3-Me.mzXML","327608","0.757645",0.9538
"S996-3-Me.mzXML","327608","0.757645",0.986
"S996-3-Me.mzXML","327608","0.757645",0.9753
"S996-3-Me.mzXML","327608","0.757645",0.951
"S996-3-Me.mzXML","327608","0.757645",0.9522
"S996-3-Me.mzXML","327608","0.757645",0.9522
"S996-3-Me.mzXML","327608","0.757645",0.9736
"S996-3-Me.mzXML","327623","0.770511",0.9716
"S996-3-Me.mzXML","327623","0.770511",0.986
"S996-3-Me.mzXML","327623","0.770511",0.9416
"S996-3-Me.mzXML","327623","0.770511",0.941
"S996-3-Me.mzXML","327623","0.770511",0.964
"S996-3-Me.mzXML","327623","0.770511",0.9385
"S996-3-Me.mzXML","327623","0.770511",0.9411
"S996-3-Me.mzXML","338184","0.793084",0.9346
"S996-3-Me.mzXML","338184","0.793084",0.9753
"S996-3-Me.mzXML","338184","0.793084",0.9387
"S996-3-Me.mzXML","338184","0.793084",0.9618
"S996-3-Me.mzXML","338184","0.793084",0.9416
"S996-3-Me.mzXML","338184","0.793084",0.9484
"S996-3-Me.mzXML","338184","0.793084",0.964
"S996-3-Me.mzXML","338184","0.793084",0.9386
"S996-3-Me.mzXML","338199","0.769299",0.9387
"S996-3-Me.mzXML","338199","0.769299",0.9522
"S996-3-Me.mzXML","338199","0.769299",0.9725
"S996-3-Me.mzXML","338199","0.769299",0.9785
"S996-3-Me.mzXML","338199","0.769299",0.9847
"S996-3-Me.mzXML","338199","0.769299",0.9371
"S996-3-Me.mzXML","338199","0.769299",0.9416
"S996-3-Me.mzXML","338199","0.769299",0.9527
"S996-3-Me.mzXML","338199","0.769299",0.9896
"S996-3-Me.mzXML","338199","0.769299",0.9496
"S996-3-Me.mzXML","58850","0.107323",NA
"S996-3-Me.mzXML","58856","0.03478030000000001",0.8351
"S996-3-Me.mzXML","58856","0.03478030000000001",0.836
"S996-3-Me.mzXML","59127","0.102216",0.8425
"S996-3-Me.mzXML","59127","0.102216",0.8199
"S996-3-Me.mzXML","60377","0.187064",NA
"S996-3-Me.mzXML","60751","0.13651300000000002",NA
"S996-3-Me.mzXML","60753","0.0883193",NA
"S996-3-Me.mzXML","61666","0.0685263",0.7296
"S996-3-Me.mzXML","61666","0.0685263",0.8101
"S996-3-Me.mzXML","61666","0.0685263",0.7332
"S996-3-Me.mzXML","61676","0.0813569",0.7292
"S996-3-Me.mzXML","61676","0.0813569",0.7296
"S996-3-Me.mzXML","61676","0.0813569",0.8194
"S996-3-Me.mzXML","61676","0.0813569",0.8022
"S996-3-Me.mzXML","63630","0.793131",0.8022
"S996-3-Me.mzXML","63630","0.793131",0.9488
"S996-3-Me.mzXML","637","0.347531",NA
"S996-3-Me.mzXML","67098","0.6140439999999999",NA
"S996-3-Me.mzXML","693","0.0370774",0.8199
