"UniqueFileSources","id","MQScore","cosine_score"
"T124-3-Me.mzXML","223342","0.8272799999999999",0.8253
"T124-3-Me.mzXML","240930","0.0984455",0.8331
"T124-3-Me.mzXML","240930","0.0984455",0.9149
"T124-3-Me.mzXML","247986","0.171544",NA
"T124-3-Me.mzXML","270569","0.032306",0.8653
"T124-3-Me.mzXML","270569","0.032306",0.7703
"T124-3-Me.mzXML","270569","0.032306",0.71
"T124-3-Me.mzXML","270569","0.032306",0.7232
"T124-3-Me.mzXML","270569","0.032306",0.7049
"T124-3-Me.mzXML","271560","0.13675",NA
"T124-3-Me.mzXML","289024","0.690702",0.9709
"T124-3-Me.mzXML","289044","0.69558",0.9125
"T124-3-Me.mzXML","289242","0.713845",0.894
"T124-3-Me.mzXML","300883","0.279303",NA
"T124-3-Me.mzXML","300889","0.442821",0.8751
"T124-3-Me.mzXML","300894","0.292059",0.9157
"T124-3-Me.mzXML","300894","0.292059",0.9482
"T124-3-Me.mzXML","300894","0.292059",0.9888
"T124-3-Me.mzXML","300894","0.292059",0.92
"T124-3-Me.mzXML","303117","0.631025",0.9456
"T124-3-Me.mzXML","303117","0.631025",0.9199
"T124-3-Me.mzXML","9067","0.882589",0.8606
"T124-3-Me.mzXML","9067","0.882589",0.8409
