"id","Cosine_score"
"1248",0.7638
"1248",0.7638
"1248",0.7638
"1248",0.7638
"1391",0.8833
"1391",0.8833
"1391",0.8833
"1391",0.8833
"1180",0.8983
"1180",0.8983
"1180",0.8983
"1180",0.8983
"2581",0.7057
"2581",0.7057
"2581",0.7057
"2581",0.7057
"912",0.8549
"912",0.8549
"912",0.8549
"912",0.8549
"1499",0.8855
"1499",0.8855
"1499",0.8855
"1499",0.8855
"1192",0.8859
"1192",0.8859
"1192",0.8859
"1192",0.8859
"2542",0.9642
"2542",0.9642
"2542",0.9642
"2542",0.9642
"2228",0.8495
"2228",0.8495
"2228",0.8495
"2228",0.8495
"1180",0.8384
"1180",0.8384
"1180",0.8384
"1180",0.8384
"2092",0.856
"2092",0.856
"2092",0.856
"2092",0.856
"1767",0.9118
"1767",0.9118
"1767",0.9118
"1767",0.9118
"2342",0.7968
"2342",0.7968
"2342",0.7968
"2342",0.7968
"2275",0.8794
"2275",0.8794
"2275",0.8794
"2275",0.8794
"1177",0.8549
"1177",0.8549
"1177",0.8549
"1177",0.8549
"2340",0.9261
"2340",0.9261
"2340",0.9261
"2340",0.9261
"2093",0.8859
"2093",0.8859
"2093",0.8859
"2093",0.8859
"1192",0.8186
"1192",0.8186
"1192",0.8186
"1192",0.8186
"1006",0.9025
"1006",0.9025
"1006",0.9025
"1006",0.9025
"1068",0.8924
"1068",0.8924
"1068",0.8924
"1068",0.8924
"1391",0.8058
"1391",0.8058
"1391",0.8058
"1391",0.8058
"1636",0.8968
"1636",0.8968
"1636",0.8968
"1636",0.8968
"2092",0.8716
"2092",0.8716
"2092",0.8716
"2092",0.8716
"1354",0.8925
"1354",0.8925
"1354",0.8925
"1354",0.8925
"1159",0.9328
"1159",0.9328
"1159",0.9328
"1159",0.9328
"1858",0.9478
"1858",0.9478
"1858",0.9478
"1858",0.9478
"1034",0.9491
"1034",0.9491
"1034",0.9491
"1034",0.9491
"1288",0.7998
"1288",0.7998
"1288",0.7998
"1288",0.7998
"131",0.9834
"131",0.9834
"131",0.9834
"131",0.9834
"1386",0.9464
"1386",0.9464
"1386",0.9464
"1386",0.9464
"1180",0.8968
"1180",0.8968
"1180",0.8968
"1180",0.8968
"2533",0.8733
"2533",0.8733
"2533",0.8733
"2533",0.8733
"111",0.9659
"111",0.9659
"111",0.9659
"111",0.9659
"1177",0.8791
"1177",0.8791
"1177",0.8791
"1177",0.8791
"2090",0.8744
"2090",0.8744
"2090",0.8744
"2090",0.8744
"2286",0.703
"2286",0.703
"2286",0.703
"2286",0.703
"2501",0.8472
"2501",0.8472
"2501",0.8472
"2501",0.8472
"1503",0.8566
"1503",0.8566
"1503",0.8566
"1503",0.8566
"1070",0.8065
"1070",0.8065
"1070",0.8065
"1070",0.8065
"2090",0.9276
"2090",0.9276
"2090",0.9276
"2090",0.9276
"133",0.9701
"133",0.9701
"133",0.9701
"133",0.9701
"1353",0.8797
"1353",0.8797
"1353",0.8797
"1353",0.8797
"2090",0.9133
"2090",0.9133
"2090",0.9133
"2090",0.9133
"2292",0.7971
"2292",0.7971
"2292",0.7971
"2292",0.7971
"1294",0.9769
"1294",0.9769
"1294",0.9769
"1294",0.9769
