"Strain","Shannon_Index"
"B440",0.103324046544243
"B458",0.12718384267561
"B476",0.148273179309111
"B527",0.188037151299639
"B536",0.12773562762634
"H643",0.376005059531388
"H646",0.0868316810326536
"H713",0.230847609596344
"H718",0.914526592219761
"H732",0.408716354108455
"H877",0.214932402987662
"H898",0.0989865926954086
"H905",0.106577699945483
"H941",0.0956125991988988
"H962",0.0896871380239296
"H963",0.055188538226647
"H964",0.10474312573064
"H996",0.199759844349145
"P105",0.150219243376117
"P193",0.183635540414133
"Q748",0.225902720934936
"Q768",0.080738209049901
"Q884",0.236037265352604
"R107",0.10510453850912
"R114",0.162242491290418
"R425",0.0616902829859062
"R510",0.435702225353293
"R699",0.129138190655515
"R894",0.107904045567106
"R909",0.554924022229321
"R921",0.124500929742756
"R942",0.212369827433188
"S051",0.171157527825616
"S055",0.254528884099715
"S103",0.155125987964519
"S143",0.206643474964713
"S197",0.0957605525556301
"S205",0.0838313398450369
"S237",0.0911261135147582
"S243",0.1771562193723
"S296",0.321009778236877
"S299",0.250821168078905
"S325",0.373049627157108
"S342",0.301439362841934
"S416",0.163182718648459
"S673",0.0558735041424865
"S744",0.0589625988335868
"S801",0.259665123189885
"S820",0.416040192449984
"S848",0.457566911481457
"S860",0.801451427522437
"S863",0.171157527825616
"S960",0.0675655935611343
"S991",0.0927541493114312
"S996",0.0943029825986665
"T001",0.239276520523369
"T003",0.294327943150928
"T005",0.22983963579937
"T029",0.0981972547380901
"T045",0.102458104235638
"T084",0.593260592087475
"T088",0.250821168078905
"T124",0.275051169534731
"T131",0.22398932422284
"T133",0.285942930084936
"T138",0.0933109444974612
"T148",0.0993061978476918
"T150",0.691368441063647
"T250",0.0767626318929548
"T261",0.448532545869702
"T403",0.562142203233313
"T569",0.0948802037118522
"T584",0.252043775946557
"T603",0.140324639535569
"T609",0.141008724875873
"T796",0.248414750448222
"T798",0.132645503057527
"T799",0.0557350499063052
"T800",0.149434157799619
"T849",0.155125987964519
"T850",0.141353504380804
"T851",0.180038264685079
"T854",0.6480120286542
"T855",0.58512261274587
"T857",0.181817406460317
"T859",0.159491516545674
"X481",0.222111230519849
"X482",0.188037151299639
"X508",0.237106237481637
"X814",0.174373350231052
"X891",0.10280258444303
"Y011",0.158153876297411
"Y012",0.0902046739124801
"Y202",0.164134947127785
"Y230",0.391601684079884
"Y231",0.103324046544243
"Y234",0.171684459887322
"Y237",0.275051169534731
"Y239",0.111692123434336
"Y244",0.408716354108455
"Y256",0.252043775946557
"Y260",0.132046585102827
"Y280",0.202756144437989
"Y281",0.250821168078905
"Y282",0.0903350708273635
"Y330",0.165586317134457
"Y331",0.157713426655361
"Y363",0.467018281913781
"Y486",0.155978105397038
"Y498",0.482045613881181
"Y646",0.398252823257606
"Y666",0.547910495931014
"Y673",0.818087335351186
"Y678",0.0960579539895018
"Y679",0.308942720968195
"Y681",0.26922795993764
"Y685",0.155550771456225
"Y690",0.534462235352383
"Y694",0.462238611956229
"Y703",0.703253265915058
