"ATTRIBUTE_Strain","id","MQScore"
"2","1536","0.793892"
"2","1964","0.550612"
"2","139","0.9032709999999999"
"2","1070","0.722402"
"2","1386","0.789229"
"2","1167","0.9541360000000001"
"2","2414","0.723683"
"2","26","0.917538"
"2","437","0.965032"
"2","1351","0.9354399999999999"
"2","2529","0.329436"
"2","948","0.9042120000000001"
"2","1693","0.78665"
"2","667","0.455192"
"2","624","0.8994719999999999"
"2","2213","0.9466549999999999"
"2","1177","0.779072"
"2","2339","0.658071"
"2","788","0.862574"
"2","2334","0.713969"
"2","988","0.8506670000000001"
"2","2313","0.697766"
"2","1534","0.9038219999999999"
"2","1354","0.532782"
"2","1069","0.607068"
"2","82","0.480415"
"2","1500","0.810052"
"2","760","0.504191"
"2","2447","0.8348549999999999"
"2","880","0.8948299999999999"
"2","968","0.904324"
"2","166","0.934111"
"2","891","0.9494790000000001"
"2","1502","0.847724"
"2","1277","0.63007"
"2","62","0.663866"
"2","1171","0.8387129999999999"
"2","1636","0.493123"
"2","136","0.510338"
"2","370","0.759985"
"2","994","0.8201"
"2","131","0.817293"
"2","28","0.9330719999999999"
"2","113","0.971548"
"2","1535","0.8151149999999999"
"2","404","0.519856"
"2","2092","0.814929"
"2","383","0.638255"
"2","165","0.7793939999999999"
"2","2090","0.594366"
"2","864","0.45723500000000006"
"2","2282","0.850959"
"2","16","0.929891"
"2","473","0.27915100000000004"
"2","544","0.9171290000000001"
"2","413","0.851692"
"2","2579","0.8008270000000001"
"2","1528","0.774941"
"2","2501","0.765733"
"2","1042","0.9262030000000001"
"2","585","0.454363"
"2","122","0.347567"
"2","2426","0.744678"
"2","488","0.294171"
"2","961","0.820658"
"2","355","0.510941"
"2","37","0.7149310000000001"
"2","271","0.9285100000000001"
"2","912","0.9539110000000001"
"2","1332","0.9358059999999999"
"2","1275","0.787691"
"2","1960","0.800143"
"2","1028","0.91381"
"2","18","0.982075"
"2","734","0.946794"
"2","1511","0.8489899999999999"
"2","1705","0.9490940000000001"
"2","799","0.8749819999999999"
"2","1503","0.8605"
"2","376","0.86198"
"2","56","0.539975"
"2","960","0.661855"
"2","911","0.8504149999999999"
"2","1180","0.8463729999999999"
"2","381","0.93671"
"2","410","0.5936"
"2","1952","0.37764200000000003"
"2","735","0.855032"
"2","882","0.580099"
"2","993","0.8917790000000001"
"2","1710","0.646628"
"2","371","0.5873619999999999"
"2","151","0.541482"
"2","74","0.9503209999999999"
"2","277","0.6334770000000001"
"2","50","0.463109"
"2","1330","0.793459"
"2","886","0.936291"
"2","2578","0.403114"
"2","1196","0.8684120000000001"
"2","1815","0.8185180000000001"
"2","2342","0.650947"
"2","790","0.932159"
"2","1499","0.778172"
"2","1178","0.930465"
"2","353","0.929156"
