"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",0,0,1333,0,0.295307935935136
"0.05-0.10",0,0,1333,0,0.295307935935136
"0.10-0.15",0,0,1333,0,0.295307935935136
"0.15-0.20",0,0,1333,0,0.295307935935136
"0.20-0.25",0,0,1333,0,0.295307935935136
"0.25-0.30",2,0.00150037509377344,1333,-0.0097554990841992,0.295307935935136
"0.30-0.35",1,0.000750187546886722,1333,-0.00539773992511531,0.295307935935136
"0.35-0.40",1,0.000750187546886722,1333,-0.00539773992511531,0.295307935935136
"0.40-0.45",1,0.000750187546886722,1333,-0.00539773992511531,0.295307935935136
"0.45-0.50",1,0.000750187546886722,1333,-0.00539773992511531,0.295307935935136
"0.50-0.55",1,0.000750187546886722,1333,-0.00539773992511531,0.295307935935136
"0.55-0.60",5,0.00375093773443361,1333,-0.0209517982285994,0.295307935935136
"0.60-0.65",4,0.00300075018754689,1333,-0.0174310366363355,0.295307935935136
"0.65-0.70",4,0.00300075018754689,1333,-0.0174310366363355,0.295307935935136
"0.70-0.75",5,0.00375093773443361,1333,-0.0209517982285994,0.295307935935136
"0.75-0.80",10,0.00750187546886722,1333,-0.0367036926270417,0.295307935935136
"0.80-0.85",14,0.0105026256564141,1333,-0.0478513277328494,0.295307935935136
"0.85-0.90",10,0.00750187546886722,1333,-0.0367036926270417,0.295307935935136
"0.90-0.95",11,0.00825206301575394,1333,-0.0395875562799578,0.295307935935136
"0.95-1.00",5,0.00375093773443361,1333,-0.0209517982285994,0.295307935935136
