"UniqueFileSources","id","MQScore","cosine_score"
"B476-3-Me.mzXML","111735","0.0328436",0.7035
"B476-3-Me.mzXML","118548","0.0295233",0.9309
"B476-3-Me.mzXML","118548","0.0295233",0.9568
"B476-3-Me.mzXML","118548","0.0295233",0.9616
"B476-3-Me.mzXML","119241","0.348258",0.7155
"B476-3-Me.mzXML","119246","0.272498",NA
"B476-3-Me.mzXML","119248","0.260205",NA
"B476-3-Me.mzXML","139558","0.0406819",NA
"B476-3-Me.mzXML","140036","0.0104639",NA
"B476-3-Me.mzXML","142217","0.057379",NA
"B476-3-Me.mzXML","14826","0.296551",0.7497
"B476-3-Me.mzXML","154850","0.016338299999999997",0.8976
"B476-3-Me.mzXML","155436","0.0228878",0.8665
"B476-3-Me.mzXML","157301","0.743962",0.8328
"B476-3-Me.mzXML","163084","0.30693400000000004",NA
"B476-3-Me.mzXML","163964","0.0321537",NA
"B476-3-Me.mzXML","167241","0.0227653",NA
"B476-3-Me.mzXML","168020","0.0650102",NA
"B476-3-Me.mzXML","170259","0.07020080000000001",0.7745
"B476-3-Me.mzXML","175029","0.052903",NA
"B476-3-Me.mzXML","183348","0.142002",0.8011
"B476-3-Me.mzXML","183348","0.142002",0.7338
"B476-3-Me.mzXML","183908","0.121887",0.7991
"B476-3-Me.mzXML","183908","0.121887",0.8765
"B476-3-Me.mzXML","183908","0.121887",0.8011
"B476-3-Me.mzXML","183908","0.121887",0.7944
"B476-3-Me.mzXML","183908","0.121887",0.7889
"B476-3-Me.mzXML","186572","0.031247300000000002",0.9769
"B476-3-Me.mzXML","186572","0.031247300000000002",0.9615
"B476-3-Me.mzXML","186573","0.149428",0.9454
"B476-3-Me.mzXML","186573","0.149428",0.9769
"B476-3-Me.mzXML","186970","0.20208800000000002",NA
"B476-3-Me.mzXML","189573","0.2107",NA
"B476-3-Me.mzXML","199131","0.121004",0.7745
"B476-3-Me.mzXML","199131","0.121004",0.8458
"B476-3-Me.mzXML","2379","0.719827",NA
"B476-3-Me.mzXML","240930","0.0984455",0.8331
"B476-3-Me.mzXML","240930","0.0984455",0.9149
"B476-3-Me.mzXML","254894","0.24719499999999997",NA
"B476-3-Me.mzXML","270569","0.032306",0.8653
"B476-3-Me.mzXML","270569","0.032306",0.7703
"B476-3-Me.mzXML","270569","0.032306",0.71
"B476-3-Me.mzXML","270569","0.032306",0.7232
"B476-3-Me.mzXML","270569","0.032306",0.7049
"B476-3-Me.mzXML","270602","0.0473234",NA
"B476-3-Me.mzXML","270793","0.046506599999999995",0.9146
"B476-3-Me.mzXML","275099","0.065737",0.9763
"B476-3-Me.mzXML","275099","0.065737",0.9832
"B476-3-Me.mzXML","275099","0.065737",0.9814
"B476-3-Me.mzXML","275100","0.0584764",0.9636
"B476-3-Me.mzXML","275100","0.0584764",0.9694
"B476-3-Me.mzXML","275100","0.0584764",0.9814
"B476-3-Me.mzXML","280761","0.93979",0.8743
"B476-3-Me.mzXML","280761","0.93979",0.7831
"B476-3-Me.mzXML","280761","0.93979",0.8656
"B476-3-Me.mzXML","58761","0.752887",NA
"B476-3-Me.mzXML","61666","0.0685263",0.7296
"B476-3-Me.mzXML","61666","0.0685263",0.8101
"B476-3-Me.mzXML","61666","0.0685263",0.7332
"B476-3-Me.mzXML","63605","0.9670000000000001",0.9865
"B476-3-Me.mzXML","63605","0.9670000000000001",0.9516
"B476-3-Me.mzXML","63605","0.9670000000000001",0.8867
"B476-3-Me.mzXML","63605","0.9670000000000001",0.9703
"B476-3-Me.mzXML","63605","0.9670000000000001",0.9603
"B476-3-Me.mzXML","63605","0.9670000000000001",0.9473
"B476-3-Me.mzXML","63605","0.9670000000000001",0.8963
"B476-3-Me.mzXML","63605","0.9670000000000001",0.9255
"B476-3-Me.mzXML","63605","0.9670000000000001",0.8776
"B476-3-Me.mzXML","63605","0.9670000000000001",0.8761
"B476-3-Me.mzXML","63607","0.691268",0.7332
"B476-3-Me.mzXML","63630","0.793131",0.8022
"B476-3-Me.mzXML","63630","0.793131",0.9488
"B476-3-Me.mzXML","63817","0.956269",0.9602
"B476-3-Me.mzXML","63817","0.956269",0.8933
"B476-3-Me.mzXML","63817","0.956269",0.8827
"B476-3-Me.mzXML","63817","0.956269",0.9466
"B476-3-Me.mzXML","63817","0.956269",0.9764
"B476-3-Me.mzXML","63817","0.956269",0.8808
"B476-3-Me.mzXML","63817","0.956269",0.9703
"B476-3-Me.mzXML","63817","0.956269",0.8974
"B476-3-Me.mzXML","63817","0.956269",0.967
"B476-3-Me.mzXML","63817","0.956269",0.918
"B476-3-Me.mzXML","63835","0.982218",0.8869
"B476-3-Me.mzXML","63835","0.982218",0.9103
"B476-3-Me.mzXML","63835","0.982218",0.9538
"B476-3-Me.mzXML","63835","0.982218",0.901
"B476-3-Me.mzXML","63835","0.982218",0.9712
"B476-3-Me.mzXML","63835","0.982218",0.9764
"B476-3-Me.mzXML","63835","0.982218",0.9549
"B476-3-Me.mzXML","63835","0.982218",0.9204
"B476-3-Me.mzXML","63835","0.982218",0.9865
