"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00432900432900433,231,-0.0235602498290987,0.188037151299639
"0.05-0.10",4,0.0173160173160173,231,-0.0702359021541455,0.188037151299639
"0.10-0.15",1,0.00432900432900433,231,-0.0235602498290987,0.188037151299639
"0.15-0.20",0,0,231,0,0.188037151299639
"0.20-0.25",0,0,231,0,0.188037151299639
"0.25-0.30",1,0.00432900432900433,231,-0.0235602498290987,0.188037151299639
"0.30-0.35",0,0,231,0,0.188037151299639
"0.35-0.40",0,0,231,0,0.188037151299639
"0.40-0.45",0,0,231,0,0.188037151299639
"0.45-0.50",0,0,231,0,0.188037151299639
"0.50-0.55",1,0.00432900432900433,231,-0.0235602498290987,0.188037151299639
"0.55-0.60",0,0,231,0,0.188037151299639
"0.60-0.65",0,0,231,0,0.188037151299639
"0.65-0.70",0,0,231,0,0.188037151299639
"0.70-0.75",0,0,231,0,0.188037151299639
"0.75-0.80",1,0.00432900432900433,231,-0.0235602498290987,0.188037151299639
"0.80-0.85",0,0,231,0,0.188037151299639
"0.85-0.90",0,0,231,0,0.188037151299639
"0.90-0.95",0,0,231,0,0.188037151299639
"0.95-1.00",0,0,231,0,0.188037151299639
