"id","Cosine_score"
"324693",0.9414
"183908",0.7944
"252",0.8571
"285",0.8791
"183908",0.8011
"119262",0.8059
"172990",0.8437
"252",0.8791
"98259",0.9054
"159152",0.9412
"63839",0.9603
"146968",0.7061
"227974",0.991
"322282",0.975
"63835",0.9204
"159216",0.9336
"173779",0.8622
"160459",0.8079
"199131",0.7745
"314272",0.9242
"254",0.8733
"63835",0.8869
"280761",0.7831
"63839",0.9471
"254",0.7957
"280761",0.8743
"92700",0.9647
"322287",0.9426
"186572",0.9769
"275102",0.9674
"240930",0.9149
"248645",0.8177
"173792",0.7889
"159172",0.9563
"63839",0.8731
"159147",0.9501
"173792",0.8872
"252",0.8894
"173779",0.8844
"208141",0.8592
"98259",0.8226
"183346",0.7462
"183346",0.7447
"159147",0.9557
"96708",0.8327
"159153",0.8641
"322282",0.956
"324694",0.9381
"119840",0.8975
"63835",0.9103
"252",0.8721
"285",0.8327
"159147",0.9496
"314272",0.9444
"314272",0.9204
"173779",0.9567
"324692",0.9242
"119262",0.8808
"324694",0.966
"199131",0.8458
"159216",0.9293
"167561",0.7722
"96792",0.972
"275102",0.9832
"63835",0.9865
"63835",0.884
"111735",0.7035
"324694",0.968
"322287",0.9509
"254",0.8533
"322287",0.9706
"159216",0.9559
"157301",0.8328
"63835",0.9712
"280761",0.8656
"322282",0.9551
"63835",0.9764
"208141",0.8265
"322287",0.9544
"183908",0.8765
"275099",0.9763
"324692",0.9247
"252",0.8133
"63839",0.9256
"119840",0.9292
"63839",0.8785
"252",0.9187
"285",0.8533
"63839",0.8783
"173792",0.7969
"183347",0.7338
"172990",0.8657
"139709",0.8905
"186573",0.9769
"159152",0.9765
"275099",0.9814
"45504",0.7917
"173779",0.7908
"63839",0.8839
"249188",0.8674
"173792",0.8622
"164213",0.7781
"275102",0.9694
"322282",0.9665
"159216",0.9458
"98259",0.8225
"159172",0.9551
"322287",0.9236
"322282",0.9403
"63839",0.9602
"63835",0.901
"63839",0.9538
"259055",0.768
"322287",0.9637
"159152",0.9345
"259055",0.795
"139709",0.881
"183346",0.7893
"159147",0.9496
"183348",0.8011
"63839",0.9142
"139709",0.8832
"285",0.825
"322282",0.9706
"159172",0.9617
"249188",0.8507
"119262",0.8389
"322282",0.934
"249188",0.9286
"227974",0.8197
"306542",0.9112
"306542",0.8387
"159153",0.876
"159152",0.9502
"322287",0.9412
"275099",0.9832
"186572",0.9615
"159172",0.962
"183908",0.7889
"184344",0.7665
"322287",0.9388
"45504",0.7679
"324693",0.938
"119840",0.8872
"186573",0.9454
"322282",0.9417
"170259",0.7745
"170257",0.9556
"254",0.876
"252",0.8225
"240930",0.8331
"254",0.9187
"63835",0.9549
"227974",0.8114
"63607",0.7332
"92910",0.7957
"249188",0.9282
"183908",0.7991
"63835",0.9538
"183348",0.7338
"172990",0.8459
"98259",0.916
"262828",0.7993
"262828",0.7497
"254",0.876
"63835",0.9865
"118543",0.965
"322287",0.9426
"140042",0.8968
"63840",0.8972
"199131",0.7745
"314437",0.894
"275099",0.9832
"111651",0.7035
"63840",0.8963
"214133",0.7122
"63840",0.8801
"239689",0.9364
"239689",0.9696
"262828",0.826
"262815",0.9227
"240930",0.8331
"118543",0.9729
"58749",0.8362
"164851",0.9428
"262814",0.9344
"283196",0.8974
"118543",0.9653
"183346",0.7447
"223632",0.9844
"324693",0.9414
"140408",0.848
"324692",0.9247
"173079",0.9842
"275123",0.9636
"262828",0.7954
"183875",0.7999
"63835",0.9103
"322292",0.953
"322282",0.9417
"322282",0.9665
"280761",0.8743
"298790",0.9476
"63835",0.9204
"280761",0.8656
"254",0.9187
"63607",0.7332
"68995",0.8586
"306339",0.9236
"118543",0.9684
"262812",0.8875
"321913",0.9633
"284183",0.9026
"186573",0.9769
"252",0.8571
"262815",0.8783
"173079",0.8807
"140046",0.9322
"280848",0.9253
"58749",0.869
"262815",0.9344
"68995",0.8963
"63840",0.8787
"140408",0.715
"276855",0.7866
"322282",0.9403
"118549",0.9616
"280848",0.9034
"119241",0.7155
"322292",0.9261
"262812",0.9407
"111735",0.7035
"183346",0.7893
"146634",0.8062
"140471",0.7708
"68995",0.9103
"322287",0.9236
"301056",0.7313
"68995",0.8388
"223634",0.9873
"292445",0.7409
"322282",0.956
"252",0.8721
"322292",0.9637
"262828",0.897
"290679",0.9661
"262812",0.9227
"254",0.8733
"140408",0.8667
"306339",0.7689
"92700",0.9647
"262815",0.897
"63835",0.8869
"314437",0.7713
"63840",0.9471
"280761",0.7831
"201308",0.893
"265209",0.7237
"262815",0.8788
"321913",0.939
"68995",0.8783
"290679",0.9572
"252",0.8133
"199131",0.8458
"290679",0.9474
"276855",0.9278
"170256",0.7705
"297182",0.944
"189937",0.8772
"68995",0.8839
"164851",0.9568
"63840",0.9516
"68995",0.8974
"239716",0.9818
"314272",0.9444
"321913",0.9501
"262815",0.7666
"322292",0.939
"262828",0.9136
"306339",0.9287
"68995",0.8323
"297182",0.9392
"324694",0.966
"292445",0.8422
"118549",0.9428
"239689",0.9755
"252",0.8225
"321913",0.9768
"273354",0.916
"324693",0.938
"301056",0.9183
"324692",0.9242
"296757",0.9476
"173079",0.9074
"322287",0.9388
"239716",0.9735
"322282",0.9706
"63835",0.9549
"262814",0.9136
"254",0.8533
"155485",0.8817
"297182",0.9396
"183875",0.8765
"276855",0.7748
"262814",0.8437
"321913",0.9302
"45504",0.7679
"275123",0.9763
"273354",0.8874
"68995",0.8349
"252",0.8894
"276855",0.7701
"68995",0.8972
"186573",0.9454
"322287",0.9412
"265209",0.801
"322292",0.9525
"262814",0.8456
"249467",0.8316
"280849",0.9147
"63773",0.9188
"63835",0.884
"223634",0.9911
"322287",0.9544
"324694",0.9381
"282170",0.7263
"210463",0.8732
"45504",0.7917
"321913",0.9388
"183875",0.8456
"297182",0.9456
"314272",0.9204
"189937",0.8598
"322282",0.975
"140471",0.8561
"275123",0.9674
"214133",0.7521
"262828",0.8697
"262812",0.8261
"173880",0.7914
"262812",0.7913
"61666",0.7296
"262814",0.9407
"301056",0.9293
"322287",0.9637
"170257",0.9556
"140408",0.7482
"63773",0.9048
"63840",0.9262
"322287",0.9706
"223632",0.9911
"322292",0.975
"322292",0.9435
"314272",0.9242
"275099",0.9814
"292445",0.867
"322282",0.9551
"201308",0.9692
"63835",0.901
"290679",0.9535
"262812",0.8531
"155436",0.8665
"214133",0.8533
"262814",0.7302
"297182",0.9649
"63773",0.9018
"240930",0.9149
"249467",0.8158
"324694",0.968
"322287",0.9509
"262828",0.9416
"239716",0.9502
"63835",0.9712
"173079",0.8815
"280849",0.9363
"118549",0.9473
"223634",0.9657
"262815",0.8358
"322292",0.9535
"63772",0.9136
"262812",0.9416
"164851",0.9488
"155494",0.9318
"252",0.9187
"140471",0.8107
"262812",0.7616
"275099",0.9763
"58749",0.7234
"63840",0.9712
"173079",0.955
"183346",0.7462
"170259",0.7745
"140037",0.9123
"61666",0.7332
"63840",0.967
"282170",0.8743
"321913",0.9403
"223632",0.9632
"283196",0.9049
"252",0.8791
"155485",0.898
"170256",0.956
"292445",0.8484
"290679",0.9567
"322282",0.934
"155485",0.8889
"61666",0.8101
"262814",0.8742
"63840",0.9358
"63835",0.9764
"276855",0.8011
"214133",0.7682
"63835",0.9538
"63772",0.9083
"254",0.7957
"239716",0.9829
