"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.0384615384615385,26,-0.125311405308519,0.914526592219761
"0.05-0.10",4,0.153846153846154,26,-0.287969565677168,0.914526592219761
"0.10-0.15",1,0.0384615384615385,26,-0.125311405308519,0.914526592219761
"0.15-0.20",0,0,26,0,0.914526592219761
"0.20-0.25",0,0,26,0,0.914526592219761
"0.25-0.30",1,0.0384615384615385,26,-0.125311405308519,0.914526592219761
"0.30-0.35",0,0,26,0,0.914526592219761
"0.35-0.40",0,0,26,0,0.914526592219761
"0.40-0.45",0,0,26,0,0.914526592219761
"0.45-0.50",0,0,26,0,0.914526592219761
"0.50-0.55",1,0.0384615384615385,26,-0.125311405308519,0.914526592219761
"0.55-0.60",0,0,26,0,0.914526592219761
"0.60-0.65",0,0,26,0,0.914526592219761
"0.65-0.70",0,0,26,0,0.914526592219761
"0.70-0.75",0,0,26,0,0.914526592219761
"0.75-0.80",1,0.0384615384615385,26,-0.125311405308519,0.914526592219761
"0.80-0.85",0,0,26,0,0.914526592219761
"0.85-0.90",0,0,26,0,0.914526592219761
"0.90-0.95",0,0,26,0,0.914526592219761
"0.95-1.00",0,0,26,0,0.914526592219761
