"UniqueFileSources","id","MQScore","cosine_score"
"H941-3-Bu.mzXML","111727","0.11285899999999999",NA
"H941-3-Bu.mzXML","119241","0.348258",0.7155
"H941-3-Bu.mzXML","119246","0.272498",NA
"H941-3-Bu.mzXML","119248","0.260205",NA
"H941-3-Bu.mzXML","124199","0.0607971",NA
"H941-3-Bu.mzXML","142217","0.057379",NA
"H941-3-Bu.mzXML","142219","0.0663928",NA
"H941-3-Bu.mzXML","142223","0.030494900000000002",NA
"H941-3-Bu.mzXML","154716","0.0354309",NA
"H941-3-Bu.mzXML","159145","0.0957489",0.9482
"H941-3-Bu.mzXML","159145","0.0957489",0.9363
"H941-3-Bu.mzXML","167655","0.80609",0.7924
"H941-3-Bu.mzXML","167655","0.80609",0.7876
"H941-3-Bu.mzXML","167655","0.80609",0.7613
"H941-3-Bu.mzXML","168113","0.22355799999999998",NA
"H941-3-Bu.mzXML","170032","0.18077000000000001",0.84
"H941-3-Bu.mzXML","170035","0.129274",NA
"H941-3-Bu.mzXML","170259","0.07020080000000001",0.7745
"H941-3-Bu.mzXML","176999","0.058812300000000005",NA
"H941-3-Bu.mzXML","181517","0.799732",0.8902
"H941-3-Bu.mzXML","181517","0.799732",0.891
"H941-3-Bu.mzXML","181517","0.799732",0.9039
"H941-3-Bu.mzXML","181517","0.799732",0.9283
"H941-3-Bu.mzXML","181517","0.799732",0.9806
"H941-3-Bu.mzXML","181517","0.799732",0.8258
"H941-3-Bu.mzXML","181517","0.799732",0.8691
"H941-3-Bu.mzXML","181517","0.799732",0.831
"H941-3-Bu.mzXML","181517","0.799732",0.9873
"H941-3-Bu.mzXML","183348","0.142002",0.8011
"H941-3-Bu.mzXML","183348","0.142002",0.7338
"H941-3-Bu.mzXML","183878","0.279791",0.8456
"H941-3-Bu.mzXML","183878","0.279791",0.7665
"H941-3-Bu.mzXML","183878","0.279791",0.7991
"H941-3-Bu.mzXML","186572","0.031247300000000002",0.9769
"H941-3-Bu.mzXML","186572","0.031247300000000002",0.9615
"H941-3-Bu.mzXML","186573","0.149428",0.9454
"H941-3-Bu.mzXML","186573","0.149428",0.9769
"H941-3-Bu.mzXML","186782","0.0833483",NA
"H941-3-Bu.mzXML","186794","0.154473",NA
"H941-3-Bu.mzXML","187047","0.249489",NA
"H941-3-Bu.mzXML","199131","0.121004",0.7745
"H941-3-Bu.mzXML","199131","0.121004",0.8458
"H941-3-Bu.mzXML","201455","0.0484335",NA
"H941-3-Bu.mzXML","227974","0.173004",0.991
"H941-3-Bu.mzXML","227974","0.173004",0.8114
"H941-3-Bu.mzXML","227974","0.173004",0.8197
"H941-3-Bu.mzXML","229659","0.149674",NA
"H941-3-Bu.mzXML","240930","0.0984455",0.8331
"H941-3-Bu.mzXML","240930","0.0984455",0.9149
"H941-3-Bu.mzXML","248636","0.159028",0.8177
"H941-3-Bu.mzXML","248739","0.0957875",NA
"H941-3-Bu.mzXML","253534","0.714658",0.7336
"H941-3-Bu.mzXML","253534","0.714658",0.8774
"H941-3-Bu.mzXML","253534","0.714658",0.8958
"H941-3-Bu.mzXML","269981","0.0356548",NA
"H941-3-Bu.mzXML","270504","0.328323",NA
"H941-3-Bu.mzXML","275099","0.065737",0.9763
"H941-3-Bu.mzXML","275099","0.065737",0.9832
"H941-3-Bu.mzXML","275099","0.065737",0.9814
"H941-3-Bu.mzXML","275123","0.0742273",0.9674
"H941-3-Bu.mzXML","275123","0.0742273",0.9636
"H941-3-Bu.mzXML","275123","0.0742273",0.9763
"H941-3-Bu.mzXML","318784","0.0317322",NA
"H941-3-Bu.mzXML","322282","0.899517",0.956
"H941-3-Bu.mzXML","322282","0.899517",0.934
"H941-3-Bu.mzXML","322282","0.899517",0.9706
"H941-3-Bu.mzXML","322282","0.899517",0.9551
"H941-3-Bu.mzXML","322282","0.899517",0.975
"H941-3-Bu.mzXML","322282","0.899517",0.9403
"H941-3-Bu.mzXML","322282","0.899517",0.9665
"H941-3-Bu.mzXML","322282","0.899517",0.9417
"H941-3-Bu.mzXML","322286","0.886922",0.9343
"H941-3-Bu.mzXML","322286","0.886922",0.9551
"H941-3-Bu.mzXML","322286","0.886922",0.9525
"H941-3-Bu.mzXML","322286","0.886922",0.9426
"H941-3-Bu.mzXML","322286","0.886922",0.9133
"H941-3-Bu.mzXML","322287","0.904993",0.9509
"H941-3-Bu.mzXML","322287","0.904993",0.9236
"H941-3-Bu.mzXML","322287","0.904993",0.9426
"H941-3-Bu.mzXML","322287","0.904993",0.9706
"H941-3-Bu.mzXML","322287","0.904993",0.9544
"H941-3-Bu.mzXML","322287","0.904993",0.9412
"H941-3-Bu.mzXML","322287","0.904993",0.9388
"H941-3-Bu.mzXML","322287","0.904993",0.9637
"H941-3-Bu.mzXML","322291","0.90422",0.9665
"H941-3-Bu.mzXML","322291","0.90422",0.9535
"H941-3-Bu.mzXML","322291","0.90422",0.9302
"H941-3-Bu.mzXML","322291","0.90422",0.9509
"H941-3-Bu.mzXML","322291","0.90422",0.9295
"H941-3-Bu.mzXML","322291","0.90422",0.9469
"H941-3-Bu.mzXML","322291","0.90422",0.9249
"H941-3-Bu.mzXML","322291","0.90422",0.9343
"H941-3-Bu.mzXML","322292","0.903624",0.975
"H941-3-Bu.mzXML","322292","0.903624",0.953
"H941-3-Bu.mzXML","322292","0.903624",0.9261
"H941-3-Bu.mzXML","322292","0.903624",0.9525
"H941-3-Bu.mzXML","322292","0.903624",0.9535
"H941-3-Bu.mzXML","322292","0.903624",0.9435
"H941-3-Bu.mzXML","322292","0.903624",0.9637
"H941-3-Bu.mzXML","322292","0.903624",0.939
"H941-3-Bu.mzXML","330584","0.207222",NA
