"id","Cosine_score"
"61666",0.7332
"221828",0.8635
"338199",0.9896
"338190",0.9385
"326315",0.9334
"181515",0.8404
"338190",0.9896
"61666",0.8101
"181515",0.9035
"314749",0.9057
"181517",0.831
"338199",0.9387
"329343",0.9296
"327593",0.935
"338190",0.9572
"338190",0.9849
"326315",0.9288
"181515",0.9832
"300484",0.9414
"181517",0.9283
"327623",0.964
"181515",0.9137
"338190",0.9432
"327623",0.9716
"338199",0.9496
"338199",0.9371
"327593",0.9387
"327623",0.9411
"181517",0.8691
"61666",0.7296
"338199",0.9416
"326310",0.9361
"338199",0.9527
"181517",0.9039
"338199",0.9785
"326278",0.9326
"326320",0.9436
"181515",0.815
"327587",0.9386
"327593",0.9375
"338190",0.9538
"338190",0.9743
"327623",0.9416
"338199",0.9847
"327623",0.941
"327623",0.9385
"338190",0.9864
"181517",0.9806
"181515",0.8933
"181517",0.891
"329361",0.942
"327593",0.9736
"181517",0.8258
"326310",0.9357
"181515",0.8161
"181515",0.9404
"338190",0.9484
"327593",0.9432
"338199",0.9725
"326304",0.9326
"338199",0.9522
"326320",0.9494
"327623",0.986
"181517",0.9873
"181517",0.8902
"181515",0.9873
"327593",0.9716
"300482",0.9414
"181515",0.8174
"335063",0.9393
"322814",0.9301
"327593",0.952
"330486",0.9323
"329350",0.9322
"327593",0.9618
"322814",0.9344
"338190",0.9542
"326272",0.9277
"189642",0.8239
"329413",0.9288
"173079",0.9074
"63773",0.9018
"61666",0.7296
"118544",0.9547
"61666",0.7332
"181515",0.9137
"327587",0.9386
"118544",0.9697
"118543",0.965
"181515",0.9035
"118548",0.9616
"326320",0.9436
"326315",0.9288
"181515",0.9404
"181515",0.8404
"218563",0.7724
"322814",0.9344
"164973",0.9309
"280850",0.9096
"181515",0.9873
"61554",0.8585
"338184",0.9346
"283196",0.8974
"164851",0.9488
"61666",0.8101
"278267",0.8817
"335063",0.9393
"346195",0.9262
"310053",0.9403
"118548",0.9568
"278771",0.9198
"326304",0.9326
"338184",0.9753
"280849",0.9147
"338184",0.9618
"173079",0.955
"173947",0.9164
"173079",0.8815
"346195",0.9107
"164851",0.9428
"167655",0.7613
"62276",0.7292
"118543",0.9653
"298790",0.9476
"326310",0.9357
"167655",0.7876
"310053",0.8937
"118544",0.9617
"239689",0.965
"338184",0.9386
"118548",0.9309
"173947",0.8201
"338184",0.9416
"181515",0.8174
"239689",0.9364
"278267",0.8308
"61554",0.7708
"329343",0.9296
"164973",0.9488
"326315",0.9334
"310058",0.8829
"280850",0.9352
"283196",0.9049
"278267",0.8934
"218563",0.7976
"189642",0.9708
"329350",0.9322
"329361",0.942
"314749",0.9057
"61554",0.7759
"99561",0.8308
"338184",0.9387
"181515",0.9832
"338184",0.964
"310058",0.8746
"189937",0.8772
"164973",0.9473
"118544",0.9672
"280849",0.9363
"189937",0.8598
"181515",0.8933
"63773",0.9188
"300482",0.9414
"300484",0.9414
"173079",0.9842
"220414",0.7986
"118543",0.9684
"61554",0.7826
"220414",0.7012
"278267",0.8045
"346195",0.9739
"326310",0.9361
"173079",0.8807
"322814",0.9301
"164851",0.9568
"173947",0.8743
"118543",0.9729
"326320",0.9494
"239689",0.9696
"329405",0.9447
"181515",0.815
"330486",0.9323
"218563",0.7964
"218563",0.7437
"63773",0.9048
"181515",0.8161
"338184",0.9484
"239689",0.9755
"61554",0.7762
"296757",0.9476
"167655",0.7924
"278258",0.8595
"173948",0.8426
"270798",0.9146
"253095",0.9298
"327593",0.935
"170108",0.8599
"322835",0.9343
"248255",0.8179
"338190",0.9432
"322814",0.9301
"343896",0.9418
"278267",0.8817
"326320",0.9494
"327587",0.9386
"266",0.8737
"227770",0.8409
"338186",0.9346
"343897",0.9512
"338184",0.9386
"270572",0.7126
"154743",0.8592
"329350",0.9322
"201201",0.9346
"201201",0.8223
"338186",0.9737
"300484",0.9414
"338184",0.9618
"226535",0.8377
"338190",0.9484
"338186",0.952
"258437",0.8271
"278267",0.8045
"314749",0.9057
"154743",0.9014
"302714",0.8257
"338186",0.9619
"338190",0.9385
"329343",0.9296
"338186",0.9725
"343897",0.9572
"81728",0.7497
"326304",0.9326
"279653",0.835
"266",0.8974
"338190",0.9542
"278267",0.8934
"338184",0.9416
"264487",0.758
"300482",0.9414
"327593",0.9387
"152328",0.7369
"343896",0.9512
"257078",0.8428
"248636",0.8177
"343897",0.9454
"247880",0.887
"258548",0.8235
"270569",0.71
"218635",0.7134
"343897",0.9798
"199223",0.8785
"326376",0.9334
"338184",0.9387
"199223",0.9418
"343897",0.9527
"338190",0.9572
"200540",0.767
"327593",0.952
"326310",0.9361
"343896",0.9531
"221828",0.8635
"247880",0.8509
"329405",0.9447
"330486",0.9323
"338190",0.9849
"215579",0.8179
"248255",0.8338
"200540",0.7658
"327593",0.9375
"338190",0.9743
"309938",0.7938
"329413",0.9288
"329361",0.942
"258437",0.9123
"326272",0.9277
"270569",0.8653
"227770",0.9358
"278258",0.8676
"162545",0.8576
"327593",0.9432
"266",0.8582
"326315",0.9334
"270569",0.7232
"247875",0.8023
"247880",0.8636
"338186",0.9743
"338186",0.9488
"322835",0.9407
"338190",0.9864
"343896",0.9292
"270572",0.7568
"326315",0.9288
"338184",0.9346
"327593",0.9716
"199223",0.9109
"327593",0.9618
"226535",0.7895
"154744",0.8428
"258437",0.9014
"338186",0.9522
"270569",0.7049
"215579",0.8712
"338186",0.9416
"270793",0.9146
"154744",0.8933
"282986",0.763
"338184",0.9753
"338186",0.9435
"343897",0.956
"270569",0.7703
"81728",0.7981
"247875",0.8532
"326278",0.9326
"335063",0.9393
"278258",0.8831
"327593",0.9736
"338190",0.9896
"257078",0.8333
"173948",0.7903
"326320",0.9436
"244904",0.8427
"253095",0.8741
"326310",0.9357
"338184",0.9484
"338184",0.964
"266",0.8536
"266",0.9057
"338190",0.9538
"322814",0.9344
"227770",0.8948
"343897",0.9488
"343897",0.9639
"173948",0.7894
"278267",0.8308
"259708",0.8537
