"id","Cosine_score"
"227979",0.8114
"227978",0.8197
"167655",0.7924
"227974",0.8114
"249475",0.884
"199131",0.7745
"324694",0.966
"189937",0.8772
"181542",0.7876
"173079",0.8815
"176842",0.7525
"181542",0.8691
"259224",0.7505
"259224",0.773
"58749",0.869
"173079",0.9842
"289050",0.9075
"308239",0.8573
"58749",0.7234
"211345",0.7427
"249475",0.8027
"289050",0.9041
"249188",0.9286
"227979",0.9662
"249188",0.8674
"181542",0.9894
"58749",0.8362
"173079",0.8807
"167655",0.7876
"181542",0.7693
"289050",0.9209
"173079",0.955
"214326",0.8094
"227978",0.8386
"167655",0.7613
"324694",0.968
"211345",0.816
"289050",0.8997
"223342",0.8253
"199131",0.8458
"289050",0.915
"289180",0.9027
"227974",0.8197
"227974",0.991
"207082",0.8414
"170032",0.84
"227978",0.9662
"249188",0.9282
"223347",0.8253
"249188",0.8507
"214326",0.8545
"45504",0.7917
"173079",0.9074
"189937",0.8598
"181542",0.8219
"45504",0.7679
"324694",0.9381
"289044",0.9125
"189671",0.7471
"286799",0.8435
"214326",0.8744
"201308",0.893
"249475",0.884
"298798",0.9119
"176842",0.7525
"265209",0.801
"173079",0.9842
"200431",0.7882
"280848",0.9034
"249475",0.8027
"118547",0.9085
"308239",0.8573
"140037",0.9123
"313294",0.8193
"283199",0.8547
"201308",0.9692
"324694",0.9381
"314439",0.785
"224673",0.785
"118547",0.9321
"306339",0.9236
"58749",0.8362
"189671",0.7471
"324694",0.968
"323139",0.7481
"167655",0.7613
"239716",0.9829
"280848",0.9253
"298790",0.9476
"283199",0.7983
"201476",0.9259
"314438",0.894
"286826",0.7893
"296757",0.9476
"222393",0.7595
"218480",0.9007
"310058",0.8829
"171312",0.9161
"324724",0.9062
"286799",0.8435
"171312",0.9122
"173079",0.955
"181542",0.9894
"173079",0.8807
"224673",0.8164
"171290",0.9166
"239716",0.9502
"218480",0.9068
"324724",0.9348
"306339",0.9287
"308241",0.7822
"181542",0.7693
"313246",0.8358
"283202",0.8369
"171290",0.9034
"173079",0.8815
"251240",0.7949
"310053",0.8937
"283203",0.7362
"239716",0.9818
"324694",0.966
"171290",0.8897
"306342",0.7812
"251240",0.8666
"341643",0.8995
"310058",0.8746
"283202",0.839
"265209",0.7237
"306339",0.7689
"58749",0.869
"324724",0.9421
"181542",0.8219
"173079",0.9074
"181542",0.7876
"167655",0.7876
"167655",0.7924
"171312",0.9165
"58749",0.7234
"306342",0.8162
"164971",0.9259
"310053",0.9403
"63772",0.9083
"239716",0.9735
"265210",0.7884
"286972",0.7302
"63772",0.9136
"181542",0.8691
"200431",0.7413
"270572",0.7568
"181542",0.7876
"270569",0.7049
"324694",0.9381
"181542",0.7693
"167655",0.7613
"262348",0.7996
"174538",0.827
"270569",0.7703
"262348",0.7355
"211345",0.816
"181542",0.8691
"248636",0.8177
"309683",0.8979
"181542",0.9894
"270569",0.71
"200540",0.767
"58749",0.869
"270572",0.7126
"167655",0.7876
"189671",0.7471
"181542",0.8219
"153207",0.7234
"324694",0.968
"199131",0.8458
"207082",0.8414
"58749",0.7234
"286799",0.8435
"270569",0.8653
"167655",0.7924
"270569",0.7232
"199131",0.7745
"81728",0.7981
"324694",0.966
"189658",0.7863
"247759",0.7324
"92871",0.8921
"257050",0.8333
"200540",0.7658
"289044",0.9125
"154743",0.8592
"211345",0.7427
"201201",0.8223
"81728",0.7497
"169957",0.8085
"154743",0.9014
"201201",0.9346
"58749",0.8362
