"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00546448087431694,183,-0.0284671374472209,0.225902720934936
"0.05-0.10",4,0.0218579234972678,183,-0.0835670336988313,0.225902720934936
"0.10-0.15",1,0.00546448087431694,183,-0.0284671374472209,0.225902720934936
"0.15-0.20",0,0,183,0,0.225902720934936
"0.20-0.25",0,0,183,0,0.225902720934936
"0.25-0.30",1,0.00546448087431694,183,-0.0284671374472209,0.225902720934936
"0.30-0.35",0,0,183,0,0.225902720934936
"0.35-0.40",0,0,183,0,0.225902720934936
"0.40-0.45",0,0,183,0,0.225902720934936
"0.45-0.50",0,0,183,0,0.225902720934936
"0.50-0.55",1,0.00546448087431694,183,-0.0284671374472209,0.225902720934936
"0.55-0.60",0,0,183,0,0.225902720934936
"0.60-0.65",0,0,183,0,0.225902720934936
"0.65-0.70",0,0,183,0,0.225902720934936
"0.70-0.75",0,0,183,0,0.225902720934936
"0.75-0.80",1,0.00546448087431694,183,-0.0284671374472209,0.225902720934936
"0.80-0.85",0,0,183,0,0.225902720934936
"0.85-0.90",0,0,183,0,0.225902720934936
"0.90-0.95",0,0,183,0,0.225902720934936
"0.95-1.00",0,0,183,0,0.225902720934936
