"UniqueFileSources","id","MQScore","cosine_score"
"Q884-3-Me.mzXML","111469","0.0380446",NA
"Q884-3-Me.mzXML","119064","0.08530549999999999",0.7856
"Q884-3-Me.mzXML","119064","0.08530549999999999",0.7318
"Q884-3-Me.mzXML","119079","0.057844900000000005",0.7318
"Q884-3-Me.mzXML","139674","0.0725548",NA
"Q884-3-Me.mzXML","167655","0.80609",0.7924
"Q884-3-Me.mzXML","167655","0.80609",0.7876
"Q884-3-Me.mzXML","167655","0.80609",0.7613
"Q884-3-Me.mzXML","170108","0.0379196",0.8599
"Q884-3-Me.mzXML","173779","0.817546",0.8622
"Q884-3-Me.mzXML","173779","0.817546",0.8844
"Q884-3-Me.mzXML","173779","0.817546",0.9567
"Q884-3-Me.mzXML","173779","0.817546",0.7908
"Q884-3-Me.mzXML","174538","0.21622800000000003",0.827
"Q884-3-Me.mzXML","181515","0.721566",0.9404
"Q884-3-Me.mzXML","181515","0.721566",0.8404
"Q884-3-Me.mzXML","181515","0.721566",0.8161
"Q884-3-Me.mzXML","181515","0.721566",0.8933
"Q884-3-Me.mzXML","181515","0.721566",0.9035
"Q884-3-Me.mzXML","181515","0.721566",0.9873
"Q884-3-Me.mzXML","181515","0.721566",0.815
"Q884-3-Me.mzXML","181515","0.721566",0.9137
"Q884-3-Me.mzXML","181515","0.721566",0.9832
"Q884-3-Me.mzXML","181515","0.721566",0.8174
"Q884-3-Me.mzXML","181517","0.799732",0.8902
"Q884-3-Me.mzXML","181517","0.799732",0.891
"Q884-3-Me.mzXML","181517","0.799732",0.9039
"Q884-3-Me.mzXML","181517","0.799732",0.9283
"Q884-3-Me.mzXML","181517","0.799732",0.9806
"Q884-3-Me.mzXML","181517","0.799732",0.8258
"Q884-3-Me.mzXML","181517","0.799732",0.8691
"Q884-3-Me.mzXML","181517","0.799732",0.831
"Q884-3-Me.mzXML","181517","0.799732",0.9873
"Q884-3-Me.mzXML","186486","0.207186",0.7889
"Q884-3-Me.mzXML","189577","0.198228",NA
"Q884-3-Me.mzXML","199131","0.121004",0.7745
"Q884-3-Me.mzXML","199131","0.121004",0.8458
"Q884-3-Me.mzXML","200572","0.164125",NA
"Q884-3-Me.mzXML","206546","0.120304",NA
"Q884-3-Me.mzXML","206749","0.138409",NA
"Q884-3-Me.mzXML","212940","0.193931",NA
"Q884-3-Me.mzXML","215579","0.17236400000000002",0.8179
"Q884-3-Me.mzXML","215579","0.17236400000000002",0.8712
"Q884-3-Me.mzXML","215588","0.170679",NA
"Q884-3-Me.mzXML","221970","0.107154",NA
"Q884-3-Me.mzXML","2379","0.719827",NA
"Q884-3-Me.mzXML","244764","0.09892589999999998",NA
"Q884-3-Me.mzXML","247875","0.06593860000000001",0.8023
"Q884-3-Me.mzXML","247875","0.06593860000000001",0.8532
"Q884-3-Me.mzXML","247876","0.0781438",0.8532
"Q884-3-Me.mzXML","247876","0.0781438",0.8185
"Q884-3-Me.mzXML","248211","0.131271",NA
"Q884-3-Me.mzXML","248253","0.055404499999999995",NA
"Q884-3-Me.mzXML","248255","0.0551377",0.8179
"Q884-3-Me.mzXML","248255","0.0551377",0.8338
"Q884-3-Me.mzXML","248636","0.159028",0.8177
"Q884-3-Me.mzXML","255084","0.0168622",NA
"Q884-3-Me.mzXML","257050","0.105555",0.8333
"Q884-3-Me.mzXML","257078","0.0828557",0.8333
"Q884-3-Me.mzXML","257078","0.0828557",0.8428
"Q884-3-Me.mzXML","264813","0.040644099999999996",NA
"Q884-3-Me.mzXML","270569","0.032306",0.8653
"Q884-3-Me.mzXML","270569","0.032306",0.7703
"Q884-3-Me.mzXML","270569","0.032306",0.71
"Q884-3-Me.mzXML","270569","0.032306",0.7232
"Q884-3-Me.mzXML","270569","0.032306",0.7049
"Q884-3-Me.mzXML","270793","0.046506599999999995",0.9146
"Q884-3-Me.mzXML","270798","0.0600235",0.9146
"Q884-3-Me.mzXML","282932","0.03553080000000001",0.7302
"Q884-3-Me.mzXML","292488","0.0598947",0.8653
"Q884-3-Me.mzXML","58850","0.107323",NA
"Q884-3-Me.mzXML","82796","0.0975946",NA
"Q884-3-Me.mzXML","92869","0.0253429",NA
