"id","Cosine_score"
"183406",0.9162
"183406",0.8098
"181517",0.891
"181515",0.8174
"172990",0.8657
"223246",0.9319
"62547",0.8037
"181515",0.9873
"257050",0.8333
"249467",0.8158
"181515",0.815
"181515",0.8933
"181517",0.9873
"248636",0.8177
"181515",0.9035
"248635",0.941
"249467",0.8316
"186486",0.7889
"248635",0.8226
"167655",0.7613
"183769",0.825
"172998",0.8342
"164129",0.8872
"167655",0.7924
"181517",0.9283
"183406",0.8407
"164129",0.9567
"183769",0.8679
"141276",0.8553
"172990",0.8437
"62547",0.7972
"59145",0.8425
"181515",0.9832
"164131",0.8159
"181517",0.8902
"181515",0.8404
"164129",0.8106
"172990",0.8459
"189658",0.7863
"181517",0.9039
"14826",0.7497
"167655",0.7876
"181515",0.9404
"181517",0.8258
"164131",0.8427
"181517",0.8691
"229599",0.8025
"164129",0.8697
"181515",0.9137
"181517",0.9806
"174538",0.827
"176842",0.7525
"181515",0.8161
"223246",0.8327
"181517",0.831
"164131",0.8297
"167655",0.7924
"186486",0.7889
"181515",0.8933
"239689",0.965
"81522",0.9693
"239689",0.9755
"81519",0.9536
"181515",0.9404
"81522",0.952
"199131",0.8458
"155481",0.9318
"240930",0.8331
"199131",0.7745
"167655",0.7613
"81523",0.9536
"298790",0.9476
"81523",0.952
"198914",0.7691
"81519",0.9693
"181515",0.8404
"140042",0.8968
"181515",0.9873
"181515",0.9832
"176842",0.7525
"181515",0.8174
"198914",0.7716
"181515",0.9035
"181515",0.9137
"181515",0.8161
"167655",0.7876
"239689",0.9696
"240930",0.9149
"239689",0.9364
"198914",0.7969
"181515",0.815
"167655",0.7613
"247875",0.8023
"247880",0.8636
"181517",0.9806
"229601",0.71
"183406",0.9162
"62547",0.7972
"170108",0.8599
"270569",0.8653
"182075",0.7511
"292488",0.8653
"270580",0.805
"181515",0.8933
"181517",0.9039
"181515",0.9404
"181515",0.8174
"248636",0.8177
"247880",0.8509
"199131",0.8458
"154743",0.9014
"270798",0.9146
"215579",0.8712
"181517",0.9873
"248255",0.8338
"270569",0.7232
"292504",0.8365
"181515",0.9873
"181517",0.831
"173779",0.8844
"270580",0.7379
"247876",0.8185
"181517",0.891
"247875",0.8532
"226535",0.7895
"215579",0.8179
"167655",0.7924
"119064",0.7318
"270793",0.9146
"181517",0.8258
"183406",0.8098
"292863",0.7812
"181515",0.9137
"183406",0.8407
"183769",0.8679
"181515",0.9832
"154743",0.8592
"282932",0.7302
"173779",0.9567
"181515",0.8161
"174538",0.827
"181515",0.9035
"229599",0.8025
"181517",0.8902
"248255",0.8179
"270580",0.7427
"162545",0.8576
"221971",0.8456
"62547",0.8037
"270580",0.9312
"181517",0.8691
"257078",0.8333
"270569",0.71
"270580",0.7939
"257078",0.8428
"181517",0.9283
"119079",0.7318
"270569",0.7049
"173779",0.7908
"199131",0.7745
"186486",0.7889
"173779",0.8622
"292504",0.8271
"270580",0.7169
"247876",0.8532
"270569",0.7703
"181515",0.8404
"119064",0.7856
"167655",0.7876
"183769",0.825
"181515",0.815
"247880",0.887
"226535",0.8377
"282986",0.763
"257050",0.8333
