"UniqueFileSources","id","MQScore","cosine_score"
"R107-3-Bu.mzXML","157301","0.743962",0.8328
"R107-3-Bu.mzXML","159146","0.097295",0.9482
"R107-3-Bu.mzXML","159146","0.097295",0.9438
"R107-3-Bu.mzXML","159146","0.097295",0.9447
"R107-3-Bu.mzXML","159264","0.110627",0.9447
"R107-3-Bu.mzXML","159264","0.110627",0.9334
"R107-3-Bu.mzXML","167655","0.80609",0.7924
"R107-3-Bu.mzXML","167655","0.80609",0.7876
"R107-3-Bu.mzXML","167655","0.80609",0.7613
"R107-3-Bu.mzXML","173779","0.817546",0.8622
"R107-3-Bu.mzXML","173779","0.817546",0.8844
"R107-3-Bu.mzXML","173779","0.817546",0.9567
"R107-3-Bu.mzXML","173779","0.817546",0.7908
"R107-3-Bu.mzXML","173792","0.689546",0.8872
"R107-3-Bu.mzXML","173792","0.689546",0.7889
"R107-3-Bu.mzXML","173792","0.689546",0.8622
"R107-3-Bu.mzXML","173792","0.689546",0.7969
"R107-3-Bu.mzXML","181515","0.721566",0.9404
"R107-3-Bu.mzXML","181515","0.721566",0.8404
"R107-3-Bu.mzXML","181515","0.721566",0.8161
"R107-3-Bu.mzXML","181515","0.721566",0.8933
"R107-3-Bu.mzXML","181515","0.721566",0.9035
"R107-3-Bu.mzXML","181515","0.721566",0.9873
"R107-3-Bu.mzXML","181515","0.721566",0.815
"R107-3-Bu.mzXML","181515","0.721566",0.9137
"R107-3-Bu.mzXML","181515","0.721566",0.9832
"R107-3-Bu.mzXML","181515","0.721566",0.8174
"R107-3-Bu.mzXML","181517","0.799732",0.8902
"R107-3-Bu.mzXML","181517","0.799732",0.891
"R107-3-Bu.mzXML","181517","0.799732",0.9039
"R107-3-Bu.mzXML","181517","0.799732",0.9283
"R107-3-Bu.mzXML","181517","0.799732",0.9806
"R107-3-Bu.mzXML","181517","0.799732",0.8258
"R107-3-Bu.mzXML","181517","0.799732",0.8691
"R107-3-Bu.mzXML","181517","0.799732",0.831
"R107-3-Bu.mzXML","181517","0.799732",0.9873
"R107-3-Bu.mzXML","181925","0.0823922",NA
"R107-3-Bu.mzXML","207803","0.228548",NA
"R107-3-Bu.mzXML","227335","0.0688552",NA
"R107-3-Bu.mzXML","227974","0.173004",0.991
"R107-3-Bu.mzXML","227974","0.173004",0.8114
"R107-3-Bu.mzXML","227974","0.173004",0.8197
"R107-3-Bu.mzXML","227977","0.174043",0.991
"R107-3-Bu.mzXML","2379","0.719827",NA
"R107-3-Bu.mzXML","243377","0.0800448",NA
"R107-3-Bu.mzXML","244764","0.09892589999999998",NA
"R107-3-Bu.mzXML","244973","0.022906299999999997",NA
"R107-3-Bu.mzXML","246094","0.5578069999999999",NA
"R107-3-Bu.mzXML","246096","0.546113",NA
"R107-3-Bu.mzXML","246097","0.17394",NA
"R107-3-Bu.mzXML","246100","0.580551",NA
"R107-3-Bu.mzXML","255700","0.449908",0.8437
"R107-3-Bu.mzXML","255700","0.449908",0.8783
"R107-3-Bu.mzXML","255700","0.449908",0.7954
"R107-3-Bu.mzXML","255700","0.449908",0.8261
"R107-3-Bu.mzXML","255700","0.449908",0.7552
"R107-3-Bu.mzXML","278043","0.68019",0.7473
"R107-3-Bu.mzXML","279678","0.5453520000000001",0.9021
"R107-3-Bu.mzXML","279678","0.5453520000000001",0.9255
"R107-3-Bu.mzXML","279678","0.5453520000000001",0.909
"R107-3-Bu.mzXML","279678","0.5453520000000001",0.9516
"R107-3-Bu.mzXML","279704","0.747798",NA
"R107-3-Bu.mzXML","279712","0.7441479999999999",NA
"R107-3-Bu.mzXML","279741","0.773587",0.9539
"R107-3-Bu.mzXML","279743","0.777411",NA
"R107-3-Bu.mzXML","279809","0.771351",NA
"R107-3-Bu.mzXML","283649","0.027318799999999997",0.9668
"R107-3-Bu.mzXML","283649","0.027318799999999997",0.9586
"R107-3-Bu.mzXML","283649","0.027318799999999997",0.9589
"R107-3-Bu.mzXML","283649","0.027318799999999997",0.9595
"R107-3-Bu.mzXML","283649","0.027318799999999997",0.9611
"R107-3-Bu.mzXML","283649","0.027318799999999997",0.9645
"R107-3-Bu.mzXML","283650","0.026974400000000003",0.9539
"R107-3-Bu.mzXML","283650","0.026974400000000003",0.9664
"R107-3-Bu.mzXML","283650","0.026974400000000003",0.9664
"R107-3-Bu.mzXML","283650","0.026974400000000003",0.9566
"R107-3-Bu.mzXML","283650","0.026974400000000003",0.9556
"R107-3-Bu.mzXML","283650","0.026974400000000003",0.9611
"R107-3-Bu.mzXML","283664","0.154443",0.9469
"R107-3-Bu.mzXML","283664","0.154443",0.9579
"R107-3-Bu.mzXML","283664","0.154443",0.9498
"R107-3-Bu.mzXML","283664","0.154443",0.9495
"R107-3-Bu.mzXML","283664","0.154443",0.9524
"R107-3-Bu.mzXML","283750","0.0515446",NA
"R107-3-Bu.mzXML","283773","0.0379528",0.9474
"R107-3-Bu.mzXML","283773","0.0379528",0.9599
"R107-3-Bu.mzXML","283773","0.0379528",0.9495
"R107-3-Bu.mzXML","283773","0.0379528",0.9589
"R107-3-Bu.mzXML","283773","0.0379528",0.9556
"R107-3-Bu.mzXML","283773","0.0379528",0.9625
"R107-3-Bu.mzXML","283789","0.0381101",0.9576
"R107-3-Bu.mzXML","283789","0.0381101",0.9605
"R107-3-Bu.mzXML","283789","0.0381101",0.9524
"R107-3-Bu.mzXML","283789","0.0381101",0.9555
"R107-3-Bu.mzXML","283789","0.0381101",0.9535
"R107-3-Bu.mzXML","288792","0.76567",0.9412
"R107-3-Bu.mzXML","288792","0.76567",0.9174
