"id","Cosine_score"
"173779",0.8622
"327593",0.9387
"164131",0.8297
"181515",0.8933
"181515",0.8161
"327608",0.9425
"326310",0.9361
"157301",0.8328
"327587",0.9386
"327593",0.935
"181517",0.9873
"164131",0.8427
"181515",0.9035
"326320",0.9494
"327593",0.9375
"314749",0.9057
"164129",0.9567
"189642",0.9708
"327593",0.9736
"327623",0.9385
"326315",0.9288
"139739",0.8345
"327608",0.9736
"164129",0.8872
"173947",0.8743
"139739",0.849
"327593",0.9432
"327623",0.964
"326272",0.9277
"189671",0.7471
"327608",0.9753
"326304",0.9326
"326315",0.9334
"167655",0.7924
"338184",0.9387
"181515",0.9404
"327623",0.941
"300482",0.9414
"164129",0.8697
"338184",0.9346
"99561",0.8308
"181517",0.891
"327593",0.9716
"181517",0.9039
"338184",0.9753
"327593",0.952
"327623",0.9716
"335063",0.9393
"327608",0.9538
"189642",0.8239
"329350",0.9322
"173779",0.8844
"167655",0.7613
"168182",0.875
"181515",0.9137
"181515",0.8174
"338184",0.9618
"173947",0.8201
"164129",0.8106
"327608",0.9522
"189658",0.7863
"327623",0.9416
"173779",0.7908
"327608",0.951
"173947",0.9164
"181517",0.8258
"327623",0.986
"329361",0.942
"181515",0.9832
"329343",0.9296
"181515",0.9873
"181515",0.8404
"181517",0.831
"327608",0.9522
"327608",0.986
"338184",0.9484
"322814",0.9344
"326320",0.9436
"338184",0.964
"139739",0.8342
"167655",0.7876
"322814",0.9301
"181517",0.8902
"181515",0.815
"181517",0.9806
"329413",0.9288
"168182",0.8875
"338184",0.9416
"327593",0.9618
"181517",0.9283
"164131",0.8159
"173779",0.9567
"327623",0.9411
"326278",0.9326
"338184",0.9386
"139739",0.8705
"181517",0.8691
"326310",0.9357
"280850",0.9352
"326320",0.9494
"338184",0.9484
"118543",0.965
"327593",0.9387
"314774",0.9144
"310058",0.8746
"326310",0.9357
"326310",0.9361
"300482",0.9414
"303515",0.8178
"346195",0.9107
"181518",0.8219
"296757",0.9476
"181518",0.9042
"63773",0.9018
"298790",0.9476
"181518",0.9806
"280849",0.9363
"278771",0.9198
"189937",0.8772
"327623",0.986
"322814",0.9301
"338184",0.9416
"167655",0.7924
"167655",0.7613
"329413",0.9288
"173079",0.9074
"327593",0.935
"327593",0.9618
"118543",0.9684
"327623",0.9411
"118544",0.9672
"326315",0.9288
"173079",0.8807
"63773",0.9188
"322835",0.9343
"338184",0.9618
"310055",0.846
"181518",0.8172
"346195",0.9739
"310055",0.9266
"327593",0.9432
"327593",0.9716
"338184",0.9386
"300484",0.9414
"338184",0.9346
"329405",0.9447
"181518",0.8247
"327593",0.9375
"322814",0.9344
"62276",0.7292
"181518",0.9245
"327623",0.9716
"338184",0.964
"314749",0.9057
"327593",0.9736
"310058",0.8829
"118544",0.9697
"164973",0.9488
"164851",0.9488
"322835",0.9407
"61666",0.7332
"280850",0.9096
"338184",0.9753
"164973",0.9473
"189937",0.8598
"173079",0.9842
"181518",0.9832
"164851",0.9568
"167655",0.7876
"118544",0.9547
"173079",0.8815
"118543",0.9729
"346195",0.9262
"326315",0.9334
"327587",0.9386
"327623",0.941
"280849",0.9147
"164851",0.9428
"327623",0.9385
"338184",0.9387
"327593",0.952
"335063",0.9393
"181531",0.797
"326320",0.9436
"173937",0.8061
"181518",0.8945
"314774",0.9265
"63773",0.9048
"189642",0.8239
"173079",0.955
"327623",0.964
"189642",0.9708
"327623",0.9416
"99561",0.8308
"118544",0.9617
"164973",0.9309
"61666",0.8101
"118543",0.9653
"181518",0.8927
"61666",0.7296
"327593",0.9432
"338187",0.9375
"343897",0.9639
"181517",0.9806
"335063",0.9393
"327608",0.951
"327623",0.9716
"326320",0.9436
"338199",0.9785
"338187",0.9849
"327587",0.9386
"322835",0.9407
"338199",0.9847
"338199",0.9371
"327608",0.9522
"167655",0.7613
"164151",0.7908
"181515",0.9832
"338190",0.9896
"164129",0.8872
"327593",0.9618
"343897",0.9488
"187305",0.8844
"327623",0.9411
"181517",0.8258
