"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00217391304347826,460,-0.0133287532380068,0.107904045567106
"0.05-0.10",4,0.00869565217391304,460,-0.0412602793770717,0.107904045567106
"0.10-0.15",1,0.00217391304347826,460,-0.0133287532380068,0.107904045567106
"0.15-0.20",0,0,460,0,0.107904045567106
"0.20-0.25",0,0,460,0,0.107904045567106
"0.25-0.30",1,0.00217391304347826,460,-0.0133287532380068,0.107904045567106
"0.30-0.35",0,0,460,0,0.107904045567106
"0.35-0.40",0,0,460,0,0.107904045567106
"0.40-0.45",0,0,460,0,0.107904045567106
"0.45-0.50",0,0,460,0,0.107904045567106
"0.50-0.55",1,0.00217391304347826,460,-0.0133287532380068,0.107904045567106
"0.55-0.60",0,0,460,0,0.107904045567106
"0.60-0.65",0,0,460,0,0.107904045567106
"0.65-0.70",0,0,460,0,0.107904045567106
"0.70-0.75",0,0,460,0,0.107904045567106
"0.75-0.80",1,0.00217391304347826,460,-0.0133287532380068,0.107904045567106
"0.80-0.85",0,0,460,0,0.107904045567106
"0.85-0.90",0,0,460,0,0.107904045567106
"0.90-0.95",0,0,460,0,0.107904045567106
"0.95-1.00",0,0,460,0,0.107904045567106
