"UniqueFileSources","id","MQScore","cosine_score"
"S342-3-Bu.mzXML","252986","0.07696",NA
"S342-3-Bu.mzXML","327587","0.517347",0.9386
"S342-3-Bu.mzXML","327608","0.757645",0.9425
"S342-3-Bu.mzXML","327608","0.757645",0.9538
"S342-3-Bu.mzXML","327608","0.757645",0.986
"S342-3-Bu.mzXML","327608","0.757645",0.9753
"S342-3-Bu.mzXML","327608","0.757645",0.951
"S342-3-Bu.mzXML","327608","0.757645",0.9522
"S342-3-Bu.mzXML","327608","0.757645",0.9522
"S342-3-Bu.mzXML","327608","0.757645",0.9736
"S342-3-Bu.mzXML","338184","0.793084",0.9346
"S342-3-Bu.mzXML","338184","0.793084",0.9753
"S342-3-Bu.mzXML","338184","0.793084",0.9387
"S342-3-Bu.mzXML","338184","0.793084",0.9618
"S342-3-Bu.mzXML","338184","0.793084",0.9416
"S342-3-Bu.mzXML","338184","0.793084",0.9484
"S342-3-Bu.mzXML","338184","0.793084",0.964
"S342-3-Bu.mzXML","338184","0.793084",0.9386
"S342-3-Bu.mzXML","338186","0.802334",0.9488
"S342-3-Bu.mzXML","338186","0.802334",0.9737
"S342-3-Bu.mzXML","338186","0.802334",0.9619
"S342-3-Bu.mzXML","338186","0.802334",0.9725
"S342-3-Bu.mzXML","338186","0.802334",0.9522
"S342-3-Bu.mzXML","338186","0.802334",0.9435
"S342-3-Bu.mzXML","338186","0.802334",0.9743
"S342-3-Bu.mzXML","338186","0.802334",0.952
"S342-3-Bu.mzXML","338186","0.802334",0.9416
"S342-3-Bu.mzXML","338186","0.802334",0.9346
"S342-3-Bu.mzXML","338190","0.777675",0.9849
"S342-3-Bu.mzXML","338190","0.777675",0.9572
"S342-3-Bu.mzXML","338190","0.777675",0.9542
"S342-3-Bu.mzXML","338190","0.777675",0.9743
"S342-3-Bu.mzXML","338190","0.777675",0.9432
"S342-3-Bu.mzXML","338190","0.777675",0.9538
"S342-3-Bu.mzXML","338190","0.777675",0.9864
"S342-3-Bu.mzXML","338190","0.777675",0.9484
"S342-3-Bu.mzXML","338190","0.777675",0.9896
"S342-3-Bu.mzXML","338190","0.777675",0.9385
"S342-3-Bu.mzXML","338199","0.769299",0.9387
"S342-3-Bu.mzXML","338199","0.769299",0.9522
"S342-3-Bu.mzXML","338199","0.769299",0.9725
"S342-3-Bu.mzXML","338199","0.769299",0.9785
"S342-3-Bu.mzXML","338199","0.769299",0.9847
"S342-3-Bu.mzXML","338199","0.769299",0.9371
"S342-3-Bu.mzXML","338199","0.769299",0.9416
"S342-3-Bu.mzXML","338199","0.769299",0.9527
"S342-3-Bu.mzXML","338199","0.769299",0.9896
"S342-3-Bu.mzXML","338199","0.769299",0.9496
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.9512
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.9798
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.9527
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.9488
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.9639
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.956
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.9454
"S342-3-Bu.mzXML","343897","0.7551399999999999",0.9572
