"id","Cosine_score"
"210463",0.8732
"170256",0.7705
"146968",0.7061
"275099",0.9814
"63605",0.9703
"63605",0.9865
"231510",0.8149
"186574",0.9615
"63835",0.8869
"119262",0.8389
"159181",0.937
"63605",0.8761
"63605",0.9603
"254",0.7957
"63990",0.918
"170257",0.9556
"63836",0.8094
"155433",0.7733
"186574",0.9454
"240930",0.8331
"199131",0.7745
"63835",0.9549
"254",0.876
"314272",0.9204
"63836",0.8356
"63817",0.9602
"119262",0.8808
"186572",0.9769
"63990",0.8658
"119262",0.8059
"63835",0.9764
"314272",0.9444
"63817",0.8827
"254",0.8533
"63990",0.864
"10052",0.7664
"324694",0.966
"231510",0.8041
"99074",0.9668
"63990",0.9204
"63835",0.9712
"159152",0.9345
"98212",0.825
"63990",0.8531
"63605",0.8776
"63817",0.9466
"63835",0.884
"98212",0.8721
"63607",0.7332
"324692",0.9242
"92700",0.9647
"240930",0.9149
"63817",0.9703
"63990",0.9262
"63630",0.8022
"314272",0.9242
"170256",0.956
"63605",0.8867
"63605",0.9516
"155436",0.8665
"324692",0.9247
"159152",0.9765
"63835",0.9103
"63817",0.967
"63817",0.8808
"98212",0.8634
"63835",0.9865
"63630",0.9488
"63990",0.9142
"231510",0.8282
"98212",0.8371
"98212",0.8226
"254",0.8733
"63817",0.9764
"324694",0.9381
"63817",0.918
"63605",0.9473
"199131",0.8458
"61666",0.8101
"63605",0.9255
"63835",0.9204
"61666",0.7296
"63605",0.8963
"275099",0.9763
"63835",0.901
"159152",0.9412
"275099",0.9832
"99074",0.9631
"63990",0.9255
"63817",0.8933
"186572",0.9615
"63990",0.8586
"61666",0.7332
"324694",0.968
"63835",0.9538
"98212",0.8733
"63836",0.8323
"63817",0.8974
"324693",0.9414
"159152",0.9502
"254",0.9187
"324693",0.938
"63990",0.8883
"231506",0.8142
"210482",0.8732
"63840",0.9262
"63605",0.9473
"63839",0.8731
"63990",0.9204
"310053",0.8937
"164851",0.9488
"186573",0.9454
"140396",0.7488
"63605",0.8761
"63839",0.8839
"63773",0.9188
"111735",0.7035
"170257",0.9556
"261",0.8371
"254898",0.8712
"231514",0.8892
"63839",0.9142
"63605",0.9516
"227770",0.8948
"63839",0.9538
"63839",0.8783
"231514",0.8715
"63990",0.8586
"63817",0.967
"140046",0.9322
"170256",0.7705
"183875",0.7999
"223634",0.9657
"223632",0.9632
"57570",0.854
"252",0.8133
"63835",0.9103
"63605",0.8867
"280850",0.9096
"63840",0.8972
"227770",0.9358
"63840",0.8787
"239711",0.9341
"45504",0.7679
"63835",0.9865
"183346",0.7447
"155494",0.9318
"254898",0.8637
"63835",0.901
"118543",0.9729
"63605",0.9255
"164973",0.9488
"164973",0.9473
"63990",0.8883
"252",0.8894
"239716",0.9735
"63835",0.8869
"63817",0.9703
"63817",0.9764
"283196",0.8974
"183875",0.8456
"239689",0.9364
"239711",0.9754
"253095",0.8741
"239716",0.9502
"223634",0.9873
"324692",0.9247
"146968",0.7061
"63839",0.9603
"63817",0.9466
"155481",0.9318
"298790",0.9476
"164851",0.9428
"239689",0.9755
"186572",0.9769
"61666",0.7296
"63607",0.7332
"346195",0.9107
"61666",0.8101
"63835",0.9538
"63773",0.9048
"239711",0.9692
"63840",0.9471
"140045",0.773
"231514",0.8307
"252",0.8721
"231506",0.8484
"306339",0.9236
"239684",0.9513
"273366",0.8631
"170256",0.956
"63835",0.9764
"63990",0.864
"183346",0.7462
"186572",0.9615
"57570",0.7932
"63990",0.9262
"223632",0.9911
"254898",0.8581
"63835",0.884
"231506",0.8445
"324692",0.9242
"223634",0.9911
"63840",0.9358
"118543",0.9653
"63817",0.8974
"63835",0.9549
"223632",0.9844
"63605",0.9603
"227770",0.8409
"306339",0.7689
"63990",0.9142
"63840",0.967
"275102",0.9674
"63605",0.8776
"314272",0.9242
"252",0.8571
"164851",0.9568
"239684",0.9384
"275102",0.9832
"346195",0.9739
"275099",0.9814
"252",0.9187
"324693",0.9414
"64825",0.7869
"273366",0.8902
"253095",0.9298
"119262",0.8389
"210482",0.7991
"63605",0.9865
"261",0.8327
"119262",0.8059
"324693",0.938
"239689",0.965
"63772",0.9136
"63840",0.9712
"63840",0.9516
"63817",0.918
