"id","Cosine_score"
"303109",0.9743
"303156",0.9304
"300894",0.9157
"324694",0.968
"321735",0.7162
"289050",0.9041
"311431",0.9521
"9067",0.8606
"289044",0.9125
"309830",0.929
"251240",0.7949
"61578",0.8013
"303109",0.9539
"251240",0.8666
"311431",0.9139
"303156",0.9522
"289050",0.915
"311422",0.9139
"289242",0.894
"308239",0.8573
"289050",0.8997
"280383",0.7388
"300889",0.8751
"300894",0.9888
"321733",0.9127
"224673",0.8164
"303109",0.943
"289180",0.9027
"314159",0.7311
"240930",0.9149
"303117",0.9456
"61578",0.9611
"61578",0.905
"311420",0.9506
"303152",0.943
"300901",0.9581
"311422",0.9268
"311431",0.9384
"324694",0.9381
"300894",0.9482
"311420",0.9327
"207404",0.8117
"289050",0.9209
"303140",0.9027
"314159",0.7291
"9067",0.8409
"311431",0.9436
"309829",0.929
"303148",0.9539
"324694",0.966
"223342",0.8253
"224673",0.785
"240930",0.8331
"289050",0.9075
"303148",0.9549
"300894",0.92
"303117",0.9199
"303148",0.9522
"303109",0.9274
"289024",0.9709
"303148",0.9456
"303117",0.9456
"63772",0.9083
"283202",0.8369
"303156",0.9522
"311431",0.9436
"306339",0.7689
"279678",0.909
"321733",0.9127
"306339",0.9236
"311431",0.9384
"283202",0.839
"300894",0.9888
"314159",0.7311
"265209",0.7237
"118547",0.9085
"303152",0.943
"289050",0.8997
"303148",0.9522
"289044",0.9125
"289024",0.9709
"303109",0.943
"311431",0.9139
"309829",0.929
"239716",0.9818
"303109",0.9743
"303117",0.9199
"280850",0.9096
"249475",0.884
"313294",0.8193
"311420",0.9327
"283196",0.9049
"239716",0.9502
"279678",0.9516
"240930",0.9149
"279678",0.9255
"314159",0.7291
"311431",0.9521
"300901",0.9581
"289180",0.9027
"279676",0.9016
"239716",0.9829
"280850",0.9352
"249475",0.8027
"289050",0.915
"289050",0.9041
"303109",0.9539
"300894",0.9482
"300894",0.9157
"279676",0.9119
"9067",0.8409
"308239",0.8573
"303140",0.9027
"303109",0.9274
"289050",0.9209
"283196",0.8974
"118547",0.9321
"300906",0.9136
"265209",0.801
"311422",0.9268
"140045",0.773
"289050",0.9075
"296757",0.9476
"300894",0.92
"239716",0.9735
"298798",0.9119
"289242",0.894
"311420",0.9506
"63772",0.9136
"306339",0.9287
"223342",0.8253
"309830",0.929
"303148",0.9549
"240930",0.8331
"286826",0.7893
"300889",0.8751
"303148",0.9539
"286799",0.8435
"9067",0.8606
"311422",0.9139
"303156",0.9304
"279678",0.9021
"303148",0.9456
"289050",0.8997
"270569",0.7049
"300894",0.9482
"118547",0.9085
"296757",0.9476
"303117",0.9456
"311431",0.9384
"300894",0.9888
"240930",0.9149
"270580",0.7427
"303156",0.9304
"239716",0.9502
"321735",0.7162
"239716",0.9818
"324694",0.966
"311420",0.9327
"303109",0.943
"303156",0.9522
"170101",0.8117
"270569",0.7703
"262348",0.7355
"280849",0.9363
"321733",0.9127
"311431",0.9521
"9067",0.8606
"311431",0.9139
"270580",0.805
"311431",0.9436
"300894",0.92
"289242",0.894
"324694",0.9381
"311420",0.9506
"300889",0.8751
"311422",0.9268
"303109",0.9539
"303109",0.9274
"289050",0.9041
"292490",0.7402
"309829",0.929
"262348",0.7996
"169957",0.8085
"303117",0.9199
"289050",0.9075
"239716",0.9829
"270569",0.8653
"280849",0.9147
"289044",0.9125
"314159",0.7291
"165614",0.8876
"289050",0.915
"313295",0.8221
"303109",0.9743
"270580",0.7939
"314159",0.7311
"311422",0.9139
"270580",0.9312
"270580",0.7169
"303148",0.9522
"309830",0.929
"303148",0.9456
"313246",0.8358
"270580",0.7379
"303148",0.9539
"300901",0.9581
"300906",0.9136
"289024",0.9709
"289050",0.9209
"270569",0.7232
"303148",0.9549
"164971",0.9259
"303140",0.9027
"303152",0.943
"257050",0.8333
"9067",0.8409
"240930",0.8331
"239716",0.9735
"270569",0.71
"251240",0.8666
"324694",0.968
"118547",0.9321
"300894",0.9157
"251240",0.7949
"289180",0.9027
"298790",0.9476
