"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00182149362477231,549,-0.0114901610956458,0.0933109444974612
"0.05-0.10",4,0.00728597449908925,549,-0.0358601390192323,0.0933109444974612
"0.10-0.15",1,0.00182149362477231,549,-0.0114901610956458,0.0933109444974612
"0.15-0.20",0,0,549,0,0.0933109444974612
"0.20-0.25",0,0,549,0,0.0933109444974612
"0.25-0.30",1,0.00182149362477231,549,-0.0114901610956458,0.0933109444974612
"0.30-0.35",0,0,549,0,0.0933109444974612
"0.35-0.40",0,0,549,0,0.0933109444974612
"0.40-0.45",0,0,549,0,0.0933109444974612
"0.45-0.50",0,0,549,0,0.0933109444974612
"0.50-0.55",1,0.00182149362477231,549,-0.0114901610956458,0.0933109444974612
"0.55-0.60",0,0,549,0,0.0933109444974612
"0.60-0.65",0,0,549,0,0.0933109444974612
"0.65-0.70",0,0,549,0,0.0933109444974612
"0.70-0.75",0,0,549,0,0.0933109444974612
"0.75-0.80",1,0.00182149362477231,549,-0.0114901610956458,0.0933109444974612
"0.80-0.85",0,0,549,0,0.0933109444974612
"0.85-0.90",0,0,549,0,0.0933109444974612
"0.90-0.95",0,0,549,0,0.0933109444974612
"0.95-1.00",0,0,549,0,0.0933109444974612
