"id","Cosine_score"
"270270",0.9061
"300743",0.9394
"239640",0.943
"279277",0.9565
"250302",0.8524
"288314",0.905
"270270",0.9073
"288077",0.9441
"288078",0.9153
"239640",0.9606
"324685",0.9564
"270270",0.9729
"288325",0.9304
"300743",0.9336
"270270",0.9096
"298934",0.7352
"300743",0.9521
"82962",0.7746
"324685",0.9183
"279277",0.9025
"270270",0.8973
"270275",0.8363
"181495",0.831
"270270",0.8914
"279273",0.957
"288077",0.9124
"82953",0.7825
"288078",0.9605
"309649",0.7241
"288078",0.9134
"298929",0.7352
"288077",0.9321
"239640",0.9388
"298933",0.7714
"300743",0.9268
"288078",0.9423
"288330",0.8997
"240898",0.9179
"324685",0.9532
"288078",0.9202
"288078",0.9443
"181495",0.9894
"288077",0.9157
"288077",0.9276
"298934",0.7714
"279273",0.9122
"288077",0.9089
"309641",0.7164
"288078",0.8912
"189603",0.7668
"288314",0.9592
"240900",0.8806
"181495",0.7613
"82953",0.7971
"288314",0.9125
"239640",0.9529
"288314",0.9439
"288325",0.9222
"300743",0.9327
"279277",0.9508
"288314",0.9406
"270755",0.8096
"306683",0.7763
"324685",0.9532
"276610",0.7185
"306687",0.9029
"306133",0.8424
"306133",0.872
"181495",0.831
"324685",0.9183
"82953",0.7825
"249297",0.9016
"164229",0.9233
"118389",0.9059
"321761",0.8798
"82953",0.7971
"296730",0.9024
"181495",0.7613
"240898",0.9179
"249297",0.8457
"164229",0.8973
"239640",0.9388
"285672",0.8418
"239640",0.9529
"280841",0.897
"324685",0.9564
"181495",0.9894
"264038",0.8717
"270755",0.7952
"239640",0.943
"265196",0.7816
"283185",0.7926
"118389",0.9306
"240900",0.8806
"239640",0.9606
"298781",0.9218
"62828",0.9267
"313035",0.7248
"283186",0.7926
"250302",0.8524
"283185",0.785
"279273",0.9122
"288077",0.9441
"279273",0.957
"288077",0.9276
"82957",0.7503
"82953",0.7825
"181495",0.9894
"82957",0.7008
"279277",0.9508
"189603",0.7668
"240898",0.9179
"300743",0.9327
"288078",0.9153
"288077",0.9089
"300743",0.9268
"298929",0.7352
"239640",0.9388
"288078",0.8912
"324685",0.9183
"288078",0.9202
"298934",0.7352
"279277",0.9565
"309649",0.7241
"279277",0.9025
"324685",0.9532
"288078",0.9134
"288078",0.9605
"288330",0.8997
"288314",0.9125
"181495",0.831
"280841",0.897
"309641",0.7164
"288078",0.9443
"62828",0.9267
"288314",0.9592
"288325",0.9304
"288077",0.9321
"298933",0.7714
"240900",0.8806
"300743",0.9336
"288314",0.9439
"324685",0.9564
"288077",0.9124
"288077",0.9157
"298934",0.7714
"82953",0.7971
"257903",0.7285
"288325",0.9222
"288078",0.9423
"239640",0.9529
"239640",0.9606
"288314",0.9406
"300743",0.9521
"288314",0.905
"239640",0.943
"300743",0.9394
"181495",0.7613
