"UniqueFileSources","id","MQScore","cosine_score"
"X814-3-EA.mzXML","181495","0.06377630000000001",0.7613
"X814-3-EA.mzXML","181495","0.06377630000000001",0.831
"X814-3-EA.mzXML","181495","0.06377630000000001",0.9894
"X814-3-EA.mzXML","223534","0.0514646",NA
"X814-3-EA.mzXML","250329","0.192379",NA
"X814-3-EA.mzXML","283185","0.0415338",0.7926
"X814-3-EA.mzXML","283185","0.0415338",0.785
"X814-3-EA.mzXML","283186","0.0389258",0.7926
"X814-3-EA.mzXML","288325","0.101974",0.9222
"X814-3-EA.mzXML","288325","0.101974",0.9304
"X814-3-EA.mzXML","288330","0.100631",0.8997
"X814-3-EA.mzXML","298934","0.142583",0.7352
"X814-3-EA.mzXML","298934","0.142583",0.7714
"X814-3-EA.mzXML","300743","0.0511078",0.9394
"X814-3-EA.mzXML","300743","0.0511078",0.9521
"X814-3-EA.mzXML","300743","0.0511078",0.9268
"X814-3-EA.mzXML","300743","0.0511078",0.9336
"X814-3-EA.mzXML","300743","0.0511078",0.9327
"X814-3-EA.mzXML","300744","0.156204",NA
"X814-3-EA.mzXML","313038","0.0974212",NA
"X814-3-EA.mzXML","313039","0.050097300000000004",NA
