"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00204918032786885,488,-0.0126850725529778,0.10280258444303
"0.05-0.10",4,0.00819672131147541,488,-0.0393772216781414,0.10280258444303
"0.10-0.15",1,0.00204918032786885,488,-0.0126850725529778,0.10280258444303
"0.15-0.20",0,0,488,0,0.10280258444303
"0.20-0.25",0,0,488,0,0.10280258444303
"0.25-0.30",1,0.00204918032786885,488,-0.0126850725529778,0.10280258444303
"0.30-0.35",0,0,488,0,0.10280258444303
"0.35-0.40",0,0,488,0,0.10280258444303
"0.40-0.45",0,0,488,0,0.10280258444303
"0.45-0.50",0,0,488,0,0.10280258444303
"0.50-0.55",1,0.00204918032786885,488,-0.0126850725529778,0.10280258444303
"0.55-0.60",0,0,488,0,0.10280258444303
"0.60-0.65",0,0,488,0,0.10280258444303
"0.65-0.70",0,0,488,0,0.10280258444303
"0.70-0.75",0,0,488,0,0.10280258444303
"0.75-0.80",1,0.00204918032786885,488,-0.0126850725529778,0.10280258444303
"0.80-0.85",0,0,488,0,0.10280258444303
"0.85-0.90",0,0,488,0,0.10280258444303
"0.90-0.95",0,0,488,0,0.10280258444303
"0.95-1.00",0,0,488,0,0.10280258444303
