"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",1,0.00364963503649635,274,-0.0204858690014163,0.164134947127785
"0.05-0.10",4,0.0145985401459854,274,-0.0617056021207033,0.164134947127785
"0.10-0.15",1,0.00364963503649635,274,-0.0204858690014163,0.164134947127785
"0.15-0.20",0,0,274,0,0.164134947127785
"0.20-0.25",0,0,274,0,0.164134947127785
"0.25-0.30",1,0.00364963503649635,274,-0.0204858690014163,0.164134947127785
"0.30-0.35",0,0,274,0,0.164134947127785
"0.35-0.40",0,0,274,0,0.164134947127785
"0.40-0.45",0,0,274,0,0.164134947127785
"0.45-0.50",0,0,274,0,0.164134947127785
"0.50-0.55",1,0.00364963503649635,274,-0.0204858690014163,0.164134947127785
"0.55-0.60",0,0,274,0,0.164134947127785
"0.60-0.65",0,0,274,0,0.164134947127785
"0.65-0.70",0,0,274,0,0.164134947127785
"0.70-0.75",0,0,274,0,0.164134947127785
"0.75-0.80",1,0.00364963503649635,274,-0.0204858690014163,0.164134947127785
"0.80-0.85",0,0,274,0,0.164134947127785
"0.85-0.90",0,0,274,0,0.164134947127785
"0.90-0.95",0,0,274,0,0.164134947127785
"0.95-1.00",0,0,274,0,0.164134947127785
