"id","Cosine_score"
"338190",0.9385
"189642",0.9708
"327608",0.9425
"181515",0.815
"300482",0.9414
"181517",0.9039
"327623",0.9385
"327608",0.986
"343897",0.9488
"189256",0.8216
"338187",0.9849
"338190",0.9484
"167655",0.7613
"300484",0.9414
"181515",0.9035
"181515",0.9873
"181515",0.9404
"326376",0.9334
"343897",0.9639
"164356",0.7918
"326272",0.9277
"206686",0.7843
"329413",0.9288
"181515",0.8161
"206687",0.7462
"338190",0.9572
"327623",0.986
"229597",0.8031
"338187",0.9375
"327593",0.9716
"181515",0.8933
"176842",0.7525
"338190",0.9538
"327593",0.9432
"338187",0.9418
"206687",0.772
"181515",0.9137
"327623",0.9716
"314749",0.9057
"338187",0.9761
"327608",0.9753
"181517",0.8902
"338187",0.9516
"343897",0.9572
"167655",0.7876
"327593",0.935
"338187",0.956
"338190",0.9542
"181517",0.891
"181517",0.831
"327593",0.9375
"327623",0.9411
"343897",0.9454
"229599",0.8025
"189642",0.8239
"338187",0.941
"167655",0.7924
"327593",0.952
"327608",0.9522
"338190",0.9743
"338190",0.9896
"327608",0.951
"338187",0.9785
"327608",0.9522
"338190",0.9864
"181515",0.9832
"338187",0.951
"181517",0.9806
"327623",0.9416
"327587",0.9386
"343897",0.956
"181517",0.8258
"181517",0.9873
"338187",0.9619
"338190",0.9432
"327608",0.9736
"338190",0.9849
"181515",0.8404
"206686",0.7585
"327593",0.9387
"327623",0.964
"343897",0.9798
"59145",0.8425
"327593",0.9618
"343897",0.9527
"343897",0.9512
"189658",0.7863
"181517",0.8691
"181517",0.9283
"181515",0.8174
"327608",0.9538
"327593",0.9736
"327623",0.941
"189642",0.9708
"300482",0.9414
"346195",0.9739
"173912",0.8539
"239716",0.9829
"327593",0.952
"310053",0.9403
"280848",0.9253
"118544",0.9697
"181515",0.9035
"173948",0.7903
"310053",0.8937
"98259",0.916
"181515",0.8404
"310055",0.9266
"346195",0.9107
"167662",0.9404
"239716",0.9818
"327587",0.9386
"63773",0.9048
"322814",0.9344
"167662",0.9245
"314749",0.9057
"173079",0.955
"61554",0.7708
"327593",0.9432
"61666",0.8101
"327593",0.9618
"326310",0.9357
"181515",0.8933
"173079",0.8815
"140045",0.773
"164851",0.9488
"167655",0.7924
"99561",0.8308
"326310",0.9361
"181515",0.8174
"173948",0.7894
"252",0.9187
"239716",0.9502
"280849",0.9363
"167662",0.8386
"296757",0.9476
"181515",0.9832
"173079",0.9842
"118543",0.9653
"167655",0.7876
"98259",0.9054
"173912",0.8872
"327593",0.9387
"327593",0.9736
"310055",0.846
"61554",0.7759
"61554",0.7826
"118544",0.9617
"252",0.8225
"346195",0.9262
"333",0.8639
"322814",0.9301
"63772",0.9083
"63773",0.9188
"118543",0.965
"314759",0.933
"173948",0.8426
"61554",0.7762
"252",0.8571
"98259",0.8226
"181515",0.9873
"327593",0.935
"167662",0.9283
"252",0.8894
"189660",0.9022
"173912",0.8091
"181515",0.9137
"167662",0.7608
"252",0.8133
"189660",0.7416
"164851",0.9428
"181515",0.8161
"140046",0.9322
"252",0.8721
"63772",0.9136
"63773",0.9018
"181531",0.797
"61666",0.7332
"118543",0.9684
"314759",0.9265
"167662",0.8609
"298790",0.9476
"327593",0.9716
"118544",0.9672
"252",0.8791
"173079",0.8807
"118544",0.9547
"280848",0.9034
"167655",0.7613
"280849",0.9147
"118543",0.9729
"327593",0.9375
"98259",0.8225
"61666",0.7296
"239716",0.9735
"181515",0.815
"333",0.8405
"280850",0.9096
"181515",0.9404
"333",0.854
"61554",0.8585
"167662",0.8743
"164851",0.9568
"189642",0.8239
"173912",0.7635
"173079",0.9074
"280850",0.9352
"314759",0.9236
"327608",0.9753
"338199",0.9496
"200540",0.767
"170174",0.7659
"343897",0.9639
"338199",0.9371
"282932",0.7302
"338195",0.9864
"338184",0.964
"314759",0.9236
"338195",0.9737
"19516",0.7703
"338195",0.9847
"206687",0.772
"314759",0.9265
"247876",0.8185
"338190",0.9538
"338184",0.9346
"119054",0.7856
"98259",0.8225
"338187",0.9516
"343897",0.9527
"322814",0.9301
"343897",0.9454
"346608",0.9292
"247876",0.8532
"338187",0.9418
"338199",0.9527
"338184",0.9753
"247880",0.8509
"338187",0.9375
"338195",0.9761
"247880",0.8636
"327587",0.9386
"338199",0.9387
"343897",0.9512
"327593",0.9736
"338187",0.951
"59127",0.8425
"327593",0.935
"314774",0.9265
"322835",0.9343
"247880",0.887
"338190",0.9864
"343897",0.9488
"338195",0.9411
"98259",0.916
"338184",0.9484
"167655",0.7924
"218635",0.7134
"338199",0.9847
"693",0.8199
"338199",0.9416
"327593",0.9387
"226535",0.8377
"327608",0.951
"189660",0.7416
"338184",0.9387
"338184",0.9618
"19516",0.8127
"338187",0.9785
"229597",0.8031
"200540",0.7658
"343897",0.9572
"338195",0.944
"327593",0.9432
"338195",0.9387
"189256",0.8216
"314774",0.9144
"215579",0.8179
"338187",0.9761
"19516",0.888
"338184",0.9386
"231510",0.8041
"327593",0.9716
"327608",0.9425
"338190",0.9542
"98259",0.8226
"338184",0.9416
"59127",0.8199
"338199",0.9725
"327593",0.952
"338187",0.941
"343897",0.956
"231510",0.8149
"19516",0.8536
"189660",0.9022
"338187",0.9849
"314749",0.9057
"338190",0.9385
"314759",0.933
"338190",0.9896
"283035",0.7302
"338199",0.9896
"338190",0.9849
"215575",0.8712
"98259",0.9054
"270793",0.9146
"176842",0.7525
"343897",0.9798
"167655",0.7613
"327608",0.9538
"327608",0.9736
"327608",0.9522
"327608",0.9522
"338190",0.9743
"346608",0.9371
"338199",0.9785
"346608",0.9518
"327608",0.986
"322814",0.9344
"164356",0.7918
"322835",0.9407
"338187",0.9619
"338190",0.9484
"338190",0.9432
"119079",0.7318
"19516",0.808
"327593",0.9618
"327593",0.9375
"338190",0.9572
"338195",0.9425
"338187",0.956
"215579",0.8712
"346608",0.9639
"19516",0.8357
"326376",0.9334
"59145",0.8425
"226535",0.7895
"189658",0.7863
"206687",0.7462
"215575",0.8338
"231510",0.8282
"167655",0.7876
"338195",0.9454
"338195",0.935
"338199",0.9522
