"UniqueFileSources","id","MQScore","cosine_score"
"Y363-3-Me.mzXML","270793","0.046506599999999995",0.9146
"Y363-3-Me.mzXML","281246","0.032021299999999996",NA
"Y363-3-Me.mzXML","327587","0.517347",0.9386
"Y363-3-Me.mzXML","327608","0.757645",0.9425
"Y363-3-Me.mzXML","327608","0.757645",0.9538
"Y363-3-Me.mzXML","327608","0.757645",0.986
"Y363-3-Me.mzXML","327608","0.757645",0.9753
"Y363-3-Me.mzXML","327608","0.757645",0.951
"Y363-3-Me.mzXML","327608","0.757645",0.9522
"Y363-3-Me.mzXML","327608","0.757645",0.9522
"Y363-3-Me.mzXML","327608","0.757645",0.9736
"Y363-3-Me.mzXML","327623","0.770511",0.9716
"Y363-3-Me.mzXML","327623","0.770511",0.986
"Y363-3-Me.mzXML","327623","0.770511",0.9416
"Y363-3-Me.mzXML","327623","0.770511",0.941
"Y363-3-Me.mzXML","327623","0.770511",0.964
"Y363-3-Me.mzXML","327623","0.770511",0.9385
"Y363-3-Me.mzXML","327623","0.770511",0.9411
"Y363-3-Me.mzXML","338184","0.793084",0.9346
"Y363-3-Me.mzXML","338184","0.793084",0.9753
"Y363-3-Me.mzXML","338184","0.793084",0.9387
"Y363-3-Me.mzXML","338184","0.793084",0.9618
"Y363-3-Me.mzXML","338184","0.793084",0.9416
"Y363-3-Me.mzXML","338184","0.793084",0.9484
"Y363-3-Me.mzXML","338184","0.793084",0.964
"Y363-3-Me.mzXML","338184","0.793084",0.9386
"Y363-3-Me.mzXML","338186","0.802334",0.9488
"Y363-3-Me.mzXML","338186","0.802334",0.9737
"Y363-3-Me.mzXML","338186","0.802334",0.9619
"Y363-3-Me.mzXML","338186","0.802334",0.9725
"Y363-3-Me.mzXML","338186","0.802334",0.9522
"Y363-3-Me.mzXML","338186","0.802334",0.9435
"Y363-3-Me.mzXML","338186","0.802334",0.9743
"Y363-3-Me.mzXML","338186","0.802334",0.952
"Y363-3-Me.mzXML","338186","0.802334",0.9416
"Y363-3-Me.mzXML","338186","0.802334",0.9346
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.9512
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.9798
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.9527
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.9488
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.9639
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.956
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.9454
"Y363-3-Me.mzXML","343897","0.7551399999999999",0.9572
"Y363-3-Me.mzXML","343904","0.760705",0.944
"Y363-3-Me.mzXML","343904","0.760705",0.9542
"Y363-3-Me.mzXML","343904","0.760705",0.9516
"Y363-3-Me.mzXML","343904","0.760705",0.9435
"Y363-3-Me.mzXML","343904","0.760705",0.9518
"Y363-3-Me.mzXML","343904","0.760705",0.9531
"Y363-3-Me.mzXML","343904","0.760705",0.9496
"Y363-3-Me.mzXML","343904","0.760705",0.9798
"Y363-3-Me.mzXML","346608","0.659222",0.9292
"Y363-3-Me.mzXML","346608","0.659222",0.9639
"Y363-3-Me.mzXML","346608","0.659222",0.9371
"Y363-3-Me.mzXML","346608","0.659222",0.9518
