"UniqueFileSources","id","MQScore","cosine_score"
"neg-3-Bu.mzXML","227974","0.173004",0.991
"neg-3-Bu.mzXML","227974","0.173004",0.8114
"neg-3-Bu.mzXML","227974","0.173004",0.8197
"neg-3-Bu.mzXML","227977","0.174043",0.991
"neg-3-Bu.mzXML","229706","0.48824799999999996",NA
"neg-3-Bu.mzXML","312396","0.06280419999999999",NA
"neg-3-Bu.mzXML","327587","0.517347",0.9386
"neg-3-Bu.mzXML","327608","0.757645",0.9425
"neg-3-Bu.mzXML","327608","0.757645",0.9538
"neg-3-Bu.mzXML","327608","0.757645",0.986
"neg-3-Bu.mzXML","327608","0.757645",0.9753
"neg-3-Bu.mzXML","327608","0.757645",0.951
"neg-3-Bu.mzXML","327608","0.757645",0.9522
"neg-3-Bu.mzXML","327608","0.757645",0.9522
"neg-3-Bu.mzXML","327608","0.757645",0.9736
"neg-3-Bu.mzXML","327623","0.770511",0.9716
"neg-3-Bu.mzXML","327623","0.770511",0.986
"neg-3-Bu.mzXML","327623","0.770511",0.9416
"neg-3-Bu.mzXML","327623","0.770511",0.941
"neg-3-Bu.mzXML","327623","0.770511",0.964
"neg-3-Bu.mzXML","327623","0.770511",0.9385
"neg-3-Bu.mzXML","327623","0.770511",0.9411
"neg-3-Bu.mzXML","338184","0.793084",0.9346
"neg-3-Bu.mzXML","338184","0.793084",0.9753
"neg-3-Bu.mzXML","338184","0.793084",0.9387
"neg-3-Bu.mzXML","338184","0.793084",0.9618
"neg-3-Bu.mzXML","338184","0.793084",0.9416
"neg-3-Bu.mzXML","338184","0.793084",0.9484
"neg-3-Bu.mzXML","338184","0.793084",0.964
"neg-3-Bu.mzXML","338184","0.793084",0.9386
"neg-3-Bu.mzXML","338186","0.802334",0.9488
"neg-3-Bu.mzXML","338186","0.802334",0.9737
"neg-3-Bu.mzXML","338186","0.802334",0.9619
"neg-3-Bu.mzXML","338186","0.802334",0.9725
"neg-3-Bu.mzXML","338186","0.802334",0.9522
"neg-3-Bu.mzXML","338186","0.802334",0.9435
"neg-3-Bu.mzXML","338186","0.802334",0.9743
"neg-3-Bu.mzXML","338186","0.802334",0.952
"neg-3-Bu.mzXML","338186","0.802334",0.9416
"neg-3-Bu.mzXML","338186","0.802334",0.9346
"neg-3-Bu.mzXML","338187","0.77386",0.9619
"neg-3-Bu.mzXML","338187","0.77386",0.941
"neg-3-Bu.mzXML","338187","0.77386",0.951
"neg-3-Bu.mzXML","338187","0.77386",0.9516
"neg-3-Bu.mzXML","338187","0.77386",0.956
"neg-3-Bu.mzXML","338187","0.77386",0.9785
"neg-3-Bu.mzXML","338187","0.77386",0.9849
"neg-3-Bu.mzXML","338187","0.77386",0.9761
"neg-3-Bu.mzXML","338187","0.77386",0.9375
"neg-3-Bu.mzXML","338187","0.77386",0.9418
"neg-3-Bu.mzXML","338190","0.777675",0.9849
"neg-3-Bu.mzXML","338190","0.777675",0.9572
"neg-3-Bu.mzXML","338190","0.777675",0.9542
"neg-3-Bu.mzXML","338190","0.777675",0.9743
"neg-3-Bu.mzXML","338190","0.777675",0.9432
"neg-3-Bu.mzXML","338190","0.777675",0.9538
"neg-3-Bu.mzXML","338190","0.777675",0.9864
"neg-3-Bu.mzXML","338190","0.777675",0.9484
