"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",0,0,1054,0,0.356767086594621
"0.05-0.10",0,0,1054,0,0.356767086594621
"0.10-0.15",0,0,1054,0,0.356767086594621
"0.15-0.20",0,0,1054,0,0.356767086594621
"0.20-0.25",0,0,1054,0,0.356767086594621
"0.25-0.30",2,0.00189753320683112,1054,-0.0118922211547274,0.356767086594621
"0.30-0.35",1,0.00094876660341556,1054,-0.00660374547353065,0.356767086594621
"0.35-0.40",1,0.00094876660341556,1054,-0.00660374547353065,0.356767086594621
"0.40-0.45",1,0.00094876660341556,1054,-0.00660374547353065,0.356767086594621
"0.45-0.50",1,0.00094876660341556,1054,-0.00660374547353065,0.356767086594621
"0.50-0.55",1,0.00094876660341556,1054,-0.00660374547353065,0.356767086594621
"0.55-0.60",5,0.0047438330170778,1054,-0.0253838226597116,0.356767086594621
"0.60-0.65",4,0.00379506641366224,1054,-0.0211539027247872,0.356767086594621
"0.65-0.70",4,0.00379506641366224,1054,-0.0211539027247872,0.356767086594621
"0.70-0.75",5,0.0047438330170778,1054,-0.0253838226597116,0.356767086594621
"0.75-0.80",10,0.0094876660341556,1054,-0.0441912963577539,0.356767086594621
"0.80-0.85",14,0.0132827324478178,1054,-0.057398544205697,0.356767086594621
"0.85-0.90",10,0.0094876660341556,1054,-0.0441912963577539,0.356767086594621
"0.90-0.95",11,0.0104364326375712,1054,-0.0476157277223267,0.356767086594621
"0.95-1.00",5,0.0047438330170778,1054,-0.0253838226597116,0.356767086594621
