"Stratum","MQScore_Count","pi","Total","pi_ln_pi","shannon_index"
"0.00-0.05",0,0,957,0,0.385362261177748
"0.05-0.10",0,0,957,0,0.385362261177748
"0.10-0.15",0,0,957,0,0.385362261177748
"0.15-0.20",0,0,957,0,0.385362261177748
"0.20-0.25",0,0,957,0,0.385362261177748
"0.25-0.30",2,0.00208986415882968,957,-0.012895833251605,0.385362261177748
"0.30-0.35",1,0.00104493207941484,957,-0.00717220835052555,0.385362261177748
"0.35-0.40",1,0.00104493207941484,957,-0.00717220835052555,0.385362261177748
"0.40-0.45",1,0.00104493207941484,957,-0.00717220835052555,0.385362261177748
"0.45-0.50",1,0.00104493207941484,957,-0.00717220835052555,0.385362261177748
"0.50-0.55",1,0.00104493207941484,957,-0.00717220835052555,0.385362261177748
"0.55-0.60",5,0.00522466039707419,957,-0.0274522752299836,0.385362261177748
"0.60-0.65",4,0.00417972831765935,957,-0.0228944996043179,0.385362261177748
"0.65-0.70",4,0.00417972831765935,957,-0.0228944996043179,0.385362261177748
"0.70-0.75",5,0.00522466039707419,957,-0.0274522752299836,0.385362261177748
"0.75-0.80",10,0.0104493207941484,957,-0.0476616332127368,0.385362261177748
"0.80-0.85",14,0.0146290491118077,957,-0.06180401762354,0.385362261177748
"0.85-0.90",10,0.0104493207941484,957,-0.0476616332127368,0.385362261177748
"0.90-0.95",11,0.0114942528735632,957,-0.0513322772259148,0.385362261177748
"0.95-1.00",5,0.00522466039707419,957,-0.0274522752299836,0.385362261177748
