"Strain","Shannon_Index"
"B440",0.137877917617689
"B458",0.415071191402642
"B476",0.161431390891542
"B527",0.314854648663187
"B536",0.179851598461771
"H643",0.833339978023506
"H646",0.321608276028279
"H713",0.692955537088755
"H718",1.19257603832169
"H732",0.158243457101547
"H877",0.539607531620288
"H898",0.276480136039722
"H905",0.391581101515901
"H941",0.391868385137915
"H962",0.166841022787354
"H963",0.133527854715426
"H964",0.277400570931243
"H996",0.41467656454294
"P105",0.431117138568399
"P193",0.311880467067914
"Q748",0.315048198808228
"Q768",0.0869313538554181
"Q884",0.801245236365435
"R107",0.352781270390039
"R114",0.116769338094371
"R425",0.220023060145137
"R510",0.169239172280014
"R699",0.0725783048725281
"R894",0.161341624461386
"R909",0.218581810103589
"R921",0.504755176590858
"R942",0.163311808018876
"S051",0.379693019628644
"S055",0.239033402261186
"S103",0.106560849938069
"S143",0.0971011978313841
"S197",0.184995032410855
"S205",0.402449951976938
"S237",0.288299530405365
"S243",0.653589669653301
"S296",1.0021265555633
"S299",0.229408402943535
"S325",1.06718907293046
"S342",0.309512354089415
"S416",0.112137016203127
"S673",0.240824996498992
"S744",0.206963468774896
"S801",0.0895752902160615
"S820",0.984413385127148
"S848",0.738387068035552
"S860",0.438526332749822
"S863",0.0514854154886241
"S960",0.037916768538386
"S991",0.394796973069571
"S996",0.22139315983169
"T001",0.148644783398953
"T003",0.16588525792337
"T005",0.631869919091558
"T029",0.116019690135297
"T045",0.104219423046567
"T084",0.68446385316544
"T088",0.644422503538508
"T124",0.201565942358906
"T131",0.275548226234399
"T133",0.256000496299135
"T138",0.401716258287449
"T148",0.201403968239199
"T150",1.15911060018861
"T250",0.151809383640277
"T261",0.0581630418000563
"T403",0.220328345752794
"T569",0.164691331892358
"T584",0.315240682470312
"T603",0.0830463005669139
"T609",0.221689279543447
"T796",0.168084821885123
"T798",0.220082641251102
"T799",0.202947435736117
"T800",0.209850107740392
"T849",0.408409901196998
"T850",0.218842061205437
"T851",0.0844359776231677
"T854",0.0860043098617787
"T855",0.0770946202494966
"T857",0.0455169869999224
"T859",0.0397815087194451
"X481",0.0765081897831223
"X482",0.541293758514753
"X508",0.169191799605202
"X814",0.148421878845191
"X891",0.480202384149872
"Y011",0.501482115476585
"Y012",0.0617521769685997
"Y202",0.188018614958631
"Y230",1.09888742896537
"Y231",0.407850034280159
"Y234",0.365276998975051
"Y237",0.61386949545187
"Y239",0.12868976181023
"Y244",1.15482488873077
"Y256",0.502164558553528
"Y260",0.49923560749828
"Y280",0.601479402960296
"Y281",0.236281782956334
"Y282",0.265294381818707
"Y330",0.165586317134457
"Y331",0.0393261144453885
"Y363",0.121385578344267
"Y486",0.20439104205162
"Y498",0.0627566062595667
"Y646",0.32142153733396
"Y666",0.404147935547616
"Y673",0.110773780789843
"Y678",0.192030548461745
"Y679",0.578914250512889
"Y681",0.151681125933575
"Y685",0.0856826832050546
"Y690",0.0700076381128693
"Y694",0.881513014455068
"Y703",0.0939374781058884
