"Strain","Shannon_Index"
"B440",0.0835390794109744
"B458",0.0909341502638816
"B476",0.0649086267732384
"B527",0.111799974854931
"B536",0.09976178475546
"H643",0.338330462509468
"H646",0.109625619953499
"H713",0.116444574163867
"H732",0.052747819033849
"H877",0.0740138682798531
"H898",0.104412402327972
"H905",0.0628380126921298
"H941",0.0471183596560288
"H962",0.0220698182663052
"H963",0.032303712957289
"H964",0.155365385310911
"H996",0.100298617103212
"P105",0.0187045264769686
"P193",0.0689782017689682
"Q748",0.0569342748944418
"Q768",0.0740985559099416
"Q884",0.119151250739833
"R107",0.0129753995874413
"R114",0.0557430538847195
"R425",0.042150328458762
"R699",0.0603167810705751
"R894",0.0503013295582884
"R909",0.0728606033678631
"R921",0.0771481524542077
"R942",0.0534168386938842
"S051",0.0427744740847348
"S055",0.0644107745904243
"S103",0.0532804249690345
"S143",0.0778977070117816
"S197",0.0799815978651722
"S205",0.100785955417991
"S237",0.0736021086651067
"S243",0.0221584453673281
"S296",0.163916903141599
"S299",0.0634396726904228
"S325",0.287613277364245
"S342",0.0383831897377101
"S416",0.0203637712525984
"S673",0.0885820167208056
"S744",0.0776470227462026
"S801",0.0895752902160615
"S820",0.214961914500695
"S860",0.108304246962491
"S863",0.101604283822914
"S960",0.0355593086558126
"S991",0.174702584467471
"S996",0.111033341867448
"T001",0.0906317371244164
"T003",0.213991633397028
"T005",0.0579596179423548
"T029",0.0914656306232805
"T045",0.0603790461110275
"T088",0.0317198363452114
"T124",0.0698003810929755
"T131",0.112872558380072
"T133",0.0726707374583471
"T138",0.107326231933945
"T148",0.0765127797421011
"T150",0.194270037408437
"T250",0.0713362676867317
"T261",0.116326083600113
"T569",0.085769489587239
"T584",0.0318799006428945
"T603",0.0523256080178418
"T609",0.0525871756076471
"T796",0.0314049156495826
"T798",0.0329284917746758
"T799",0.0620189840470885
"T800",0.0372084401491791
"T849",0.091944232910114
"T850",0.0351460160876396
"T851",0.101283821328796
"T857",0.0227584934999612
"T859",0.0198907543597226
"X481",0.0559476857417603
"X482",0.070680749487296
"X508",0.0299272934698457
"X814",0.0436010572206184
"X891",0.0605845956314464
"Y011",0.0394389004582552
"Y012",0.0728520703101727
"Y202",0.0409717380028326
"Y230",0.0504341165138443
"Y231",0.118933207888691
"Y234",0.042909869202313
"Y237",0.0349001905464878
"Y239",0.0138073579942105
"Y244",0.158243457101547
"Y256",0.0956397019286836
"Y260",0.10553598844962
"Y280",0.076387250438821
"Y281",0.126879345380846
"Y282",0.05072566957275
"Y330",0.0620160755078934
"Y486",0.0388818753580019
"Y646",0.0513322772259148
"Y678",0.0868379867339805
"Y679",0.47781467621453
"Y681",0.127042000861051
"Y685",0.0193862546382835
