"id","Cosine_score"
"1201",0.9515
"1201",0.9515
"1201",0.9515
"1201",0.962
"1201",0.962
"1201",0.962
"122",0.8163
"122",0.8163
"122",0.8163
"1023",0.9631
"1023",0.9631
"1023",0.9631
"122",0.754
"122",0.754
"122",0.754
"1028",0.9485
"1028",0.9485
"1028",0.9485
"122",0.8179
"122",0.8179
"122",0.8179
"1042",0.9485
"1042",0.9485
"1042",0.9485
"166",0.8171
"166",0.8171
"166",0.8171
"1172",0.953
"1172",0.953
"1172",0.953
"520",0.9516
"520",0.9516
"520",0.9516
"139",0.754
"139",0.754
"139",0.754
"520",0.969
"520",0.969
"520",0.969
"139",0.8171
"139",0.8171
"139",0.8171
"585",0.7383
"585",0.7383
"585",0.7383
"139",0.7623
"139",0.7623
"139",0.7623
"643",0.9482
"643",0.9482
"643",0.9482
"166",0.717
"166",0.717
"166",0.717
"667",0.9477
"667",0.9477
"667",0.9477
"166",0.8179
"166",0.8179
"166",0.8179
"690",0.9611
"690",0.9611
"690",0.9611
"780",0.9689
"780",0.9689
"780",0.9689
"732",0.9485
"732",0.9485
"732",0.9485
"889",0.9573
"889",0.9573
"889",0.9573
"739",0.9523
"739",0.9523
"739",0.9523
"921",0.9743
"921",0.9743
"921",0.9743
"74",0.7423
"74",0.7423
"74",0.7423
"921",0.9598
"921",0.9598
"921",0.9598
"760",0.9356
"760",0.9356
"760",0.9356
"948",0.9691
"948",0.9691
"948",0.9691
"770",0.9732
"770",0.9732
"770",0.9732
"986",0.9524
"986",0.9524
"986",0.9524
"770",0.9768
"770",0.9768
"770",0.9768
"986",0.9405
"986",0.9405
"986",0.9405
