"id","Cosine_score"
"181517",0.9039
"181517",0.8258
"181518",0.9245
"181518",0.8172
"181517",0.891
"167655",0.7924
"181517",0.831
"181517",0.8902
"181518",0.8927
"181517",0.9283
"186787",0.8495
"167655",0.7613
"181518",0.8247
"181518",0.8945
"181518",0.9042
"181517",0.8902
"181517",0.831
"181517",0.8258
"140046",0.9322
"167655",0.7613
"181517",0.891
"300474",0.7556
"300474",0.7535
"300474",0.7608
"181517",0.9039
"181517",0.9283
"167655",0.7924
"140042",0.8968
"978",0.95
"181517",0.8902
"181517",0.831
"167655",0.7924
"257078",0.8333
"167655",0.7613
"292866",0.8565
"270572",0.7568
"292863",0.7812
"181517",0.8258
"181517",0.9039
"257050",0.8333
"181517",0.9283
"181517",0.891
"162545",0.8576
