"id","Cosine_score"
"167655",0.7613
"167655",0.7924
"164356",0.7918
"181515",0.8404
"59077",0.8029
"181515",0.9137
"181515",0.9404
"181515",0.8174
"181515",0.8933
"181515",0.815
"181515",0.8161
"181515",0.9035
"978",0.95
"140046",0.9322
"214133",0.7122
"167655",0.7613
"140042",0.8968
"167655",0.7924
"181517",0.9283
"181517",0.831
"181517",0.8258
"181517",0.9039
"182288",0.8648
"181517",0.891
"277145",0.8876
"214155",0.7651
"181517",0.8902
"140037",0.9123
"170584",0.7289
"270580",0.9312
"167677",0.8354
"181515",0.8174
"181515",0.9035
"167655",0.7924
"167677",0.8382
"124250",0.7981
"186787",0.8495
"257078",0.8333
"167677",0.8743
"181515",0.9137
"292866",0.8565
"181515",0.9404
"181515",0.8933
"181515",0.8161
"181515",0.815
"181515",0.8404
"167655",0.7613
