"id","Cosine_score"
"164356",0.7918
"167655",0.7924
"167655",0.7613
"181515",0.8404
"214133",0.7122
"181518",0.8927
"140042",0.8968
"300474",0.7556
"181518",0.8247
"181518",0.8945
"181515",0.815
"167655",0.7613
"181518",0.9042
"181518",0.8172
"167655",0.7924
"181518",0.9245
"181515",0.9404
"181515",0.9137
"181515",0.8174
"300474",0.7608
"140045",0.773
"181515",0.8933
"181515",0.9035
"300474",0.7535
"181515",0.8161
"181517",0.9283
"162545",0.8576
"181517",0.8258
"59127",0.8199
"167655",0.7613
"181517",0.891
"181517",0.9039
"257946",0.9168
"181517",0.8902
"181517",0.831
"167655",0.7924
"164356",0.7918
