"id","Cosine_score"
"181517",0.8258
"167655",0.7613
"181515",0.9035
"181517",0.8902
"181515",0.815
"181515",0.8161
"14826",0.7497
"181517",0.831
"181517",0.9283
"181515",0.8933
"181515",0.9404
"257050",0.8333
"181515",0.9137
"181517",0.891
"181517",0.9039
"181515",0.8404
"167655",0.7924
"181515",0.8174
"181515",0.9035
"181515",0.8161
"181515",0.8404
"181515",0.8933
"181515",0.815
"198914",0.7691
"140042",0.8968
"181515",0.9404
"198914",0.7716
"167655",0.7924
"181515",0.9137
"167655",0.7613
"181515",0.8174
"181517",0.891
"270580",0.9312
"181517",0.9283
"292488",0.8653
"181517",0.8258
"181515",0.815
"181517",0.831
"257050",0.8333
"181515",0.8933
"181517",0.9039
"181515",0.9137
"181517",0.8902
"181515",0.8404
"257078",0.8333
"162545",0.8576
"181515",0.8161
"181515",0.8174
"181515",0.9035
"292863",0.7812
"167655",0.7613
"181515",0.9404
"167655",0.7924
"292504",0.8271
