"id","Cosine_score"
"181515",0.9035
"181517",0.831
"181515",0.9137
"181517",0.9039
"181515",0.8174
"167655",0.7924
"181517",0.891
"181515",0.815
"167655",0.7613
"181517",0.8902
"181515",0.9404
"189671",0.7471
"181515",0.8933
"181517",0.9283
"181515",0.8161
"181517",0.8258
"181515",0.8404
"181518",0.9245
"181518",0.8927
"181518",0.8247
"181518",0.9042
"181518",0.8945
"167655",0.7924
"167655",0.7613
"181518",0.8172
"181515",0.8174
"181515",0.8404
"181515",0.8933
"181517",0.9283
"167655",0.7924
"181515",0.9404
"167655",0.7613
"181515",0.8161
"181517",0.9039
"292504",0.8271
"181515",0.9137
"181517",0.8902
"181515",0.9035
"181517",0.8258
"257078",0.8333
"292863",0.7812
"181517",0.831
"292488",0.8653
"181515",0.815
"181517",0.891
