"id","Cosine_score"
"181515",0.8174
"181517",0.8902
"243418",0.8074
"181517",0.9283
"181515",0.9137
"253534",0.8774
"181517",0.831
"181515",0.815
"167655",0.7613
"181515",0.9404
"181517",0.891
"181517",0.9039
"248055",0.7386
"181515",0.8404
"181542",0.7693
"181542",0.9894
"181517",0.8258
"181515",0.8161
"181515",0.9035
"167655",0.7924
"181515",0.8933
"167655",0.7924
"189671",0.7471
"181515",0.9137
"181515",0.8161
"181515",0.8174
"181517",0.9039
"181517",0.891
"181517",0.8258
"181515",0.815
"181542",0.7693
"181515",0.9404
"181517",0.831
"181517",0.9283
"181515",0.8404
"181515",0.8933
"181542",0.9894
"181517",0.8902
"167655",0.7613
"140046",0.9322
"181515",0.9035
"253534",0.8774
