"id","Cosine_score"
"181515",0.8161
"167655",0.7924
"181515",0.9404
"181515",0.9035
"248588",0.7266
"167655",0.7613
"181515",0.815
"181518",0.8247
"248055",0.7386
"181515",0.9137
"181518",0.8927
"181518",0.8172
"181518",0.8945
"181515",0.8174
"253532",0.8999
"181515",0.8404
"181515",0.8933
"181518",0.9245
"253532",0.7287
"181518",0.9042
"181515",0.8933
"181517",0.8902
"181515",0.815
"167655",0.7613
"167655",0.7924
"181517",0.9283
"181517",0.8258
"181515",0.9137
"181515",0.9035
"181515",0.8161
"181517",0.891
"181517",0.9039
"181515",0.8404
"181515",0.9404
"181517",0.831
"181515",0.8174
"19586",0.7232
"292489",0.7488
"292490",0.7402
"19516",0.7703
"292504",0.8271
"167655",0.7924
"167655",0.7613
"257078",0.8333
