"id","Cosine_score"
"181515",0.8161
"181517",0.9283
"181517",0.831
"181515",0.9137
"181517",0.891
"181518",0.8927
"167655",0.7924
"181518",0.8247
"181517",0.9039
"198914",0.7716
"181515",0.8933
"186787",0.8495
"181515",0.8174
"181515",0.815
"167655",0.7613
"181518",0.8172
"181517",0.8258
"181518",0.9042
"181518",0.8945
"181517",0.8902
"198914",0.7691
"181515",0.9035
"181518",0.9245
"181515",0.8404
"181515",0.9404
"181515",0.9404
"181515",0.815
"167655",0.7924
"181517",0.9283
"181518",0.8927
"198914",0.7691
"181517",0.8902
"181518",0.8945
"198914",0.7716
"181518",0.9042
"181515",0.8404
"167655",0.7613
"181517",0.9039
"181518",0.8247
"181517",0.8258
"181515",0.8174
"181515",0.9035
"181518",0.8172
"181517",0.891
"181515",0.8933
"181517",0.831
"181515",0.9137
"181515",0.8161
"181518",0.9245
"198914",0.7716
"181517",0.9283
"181515",0.9137
"19586",0.7232
"181515",0.8161
"181517",0.8258
"181515",0.9404
"167655",0.7613
"198914",0.7691
"181517",0.891
"181515",0.8933
"181515",0.8174
"181515",0.9035
"181517",0.9039
"257078",0.8333
"181515",0.8404
"292866",0.8565
"181515",0.815
"181517",0.8902
"167655",0.7924
"181517",0.831
