"id","Cosine_score"
"181515",0.9137
"181515",0.9404
"181515",0.8404
"314083",0.7745
"181515",0.8161
"181515",0.8933
"309379",0.8227
"186787",0.8495
"181515",0.815
"167655",0.7924
"167655",0.7613
"181515",0.8174
"181515",0.9035
"181515",0.8933
"181515",0.8174
"198914",0.7691
"181517",0.831
"167655",0.7924
"214133",0.7122
"181517",0.891
"181515",0.815
"181515",0.8404
"181517",0.9039
"198914",0.7716
"181515",0.8161
"978",0.95
"181515",0.9137
"182288",0.8648
"181517",0.8902
"181517",0.9283
"181517",0.8258
"167655",0.7613
"181515",0.9404
"214155",0.7651
"181515",0.9035
"181515",0.8161
"167655",0.7613
"181515",0.9035
"181515",0.8404
"167655",0.7924
"181515",0.815
"181515",0.9137
"181515",0.9404
"978",0.95
"181515",0.8174
"292863",0.7812
"214133",0.7122
"292866",0.8565
"181515",0.8933
"257078",0.8333
"164356",0.7918
"162545",0.8576
