"parent mass","GNPSLibraryURL","AllGroups","G3","GNPSLinkout_Network","Data_Collector","tags","UniqueFileSources","RTMean","G5","G4","SpectrumID","G6","Instrument","MQScore","GNPSLinkout_Cluster","Smiles","IonMode","Library_Class","Adduct","SharedPeaks","Compound_Source","Compound_Name","G1","number of spectra","charge","componentindex","PI","MZErrorPPM","sum(precursor intensity)","INCHI","G2","Ion_Source","RTConsensus","MassDiff","precursor mass","DefaultGroups","cluster index","id"
732.552,"http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00010092683"," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","Thomas Metz","nan","R942-3-Me.mzXML|P193-3-Me.mzXML|Q748-3-EA.mzXML",1215.495,0,0,"CCMSLIB00010092683",0,"HCD; Velos","0.08529149999999999","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=309718&show=true","nan","Positive","1","M+H","6","Commercial","PC(16:0/16:1); [M+H]+ C40H79N1O8P1",4,4,0,"-1","Thomas Metz","3.16609",150929,"nan",0,"LC-ESI",0,"0.00231934",732.552,"G1",309718,"309718"
494.477,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","Y234-3-Bu.mzXML|T857-3-Me.mzXML",1411.8325,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=189085&show=true","","","","","","","",4,4,0,"-1","","",379802,"",0,"",0,"",494.477,"G1",189085,"189085"
748.568,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","H732-3-Bu.mzXML",1518.69,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=312413&show=true","","","","","","","",2,2,0,"-1","","",572496,"",0,"",0,"",748.568,"G1",312413,"312413"
683.33,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=22&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","T857-3-Bu.mzXML|X814-3-Bu.mzXML|X814-3-Me.mzXML|T857-3-EA.mzXML|X481-3-Me.mzXML|T800-3-Me.mzXML",1410.32111111111,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=285668&show=true","","","","","","","",9,9,0,"22","","",812185,"",0,"",0,"",683.33,"G1",285668,"285668"
481.197,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","H964-3-EA.mzXML|H941-3-EA.mzXML",1074.3025,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=176424&show=true","","","","","","","",4,4,0,"-1","","",255840,"",0,"",0,"",481.197,"G1",176424,"176424"
852.645,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","S237-3-Me.mzXML",1142.6,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=331604&show=true","","","","","","","",2,2,0,"-1","","",60429,"",0,"",0,"",852.645,"G1",331604,"331604"
846.496,"http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00009918942"," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","J.M. Deutsch","nan","T799-3-EA.mzXML|H963-3-Bu.mzXML|S673-3-Bu.mzXML|H963-3-Me.mzXML|T799-3-Bu.mzXML|S744-3-Bu.mzXML",948.827,0,0,"CCMSLIB00009918942",0,"qTof","0.186339","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=330444&show=true"," ","Positive","3","M+H","7","Crude","Amphibactin B Analogue",10,10,0,"-1","N. Garg","17.6656",10689900," ",0,"LC-ESI",0,"0.014953600000000001",846.496,"G1",330444,"330444"
429.242,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=47&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","Y231-3-Bu.mzXML|Y231-3-EA.mzXML|Y231-3-Me.mzXML",540.904703703704,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=95477&show=true","","","","","","","",27,27,0,"47","","",1516810,"",0,"",0,"",429.242,"G1",95477,"95477"
462.136,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","T029-3-Me.mzXML|R107-3-Me.mzXML|T045-3-Me.mzXML|T138-3-Me.mzXML|Y282-3-Me.mzXML",568.2432,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=164097&show=true","","","","","","","",5,5,0,"-1","","",250139,"",0,"",0,"",462.136,"G1",164097,"164097"
810.078,""," ",0,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=382fedaf8ec0400b9323e2a170083f89&show=true","","","T250-3-Me.mzXML|S960-3-Me.mzXML|Y239-3-Me.mzXML",904.170666666667,0,0,"",0,"","","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=382fedaf8ec0400b9323e2a170083f89&view=cluster_details&protein=322969&show=true","","","","","","","",3,3,0,"-1","","",1510870,"",0,"",0,"",810.078,"G1",322969,"322969"
