"id","ATTRIBUTE"
"1","Y331"
"100037",NA
"100040","S991|Y685"
"10019",NA
"100280","R107|R107|R894|T029|X891|Y678|Y685"
"100368",NA
"10052","S051|S416|T138|T609"
"10058","B440|B476|R699|S237|T029|T045|Y330"
"10059","B476|S143|S237|S416"
"10061","S237|S416"
"10071","P105|R699|T045|Y330|Y486"
"10102","S863|S863"
"10103","S863"
"10112","H713|S051|T584|Y260"
"10219",NA
"10261",NA
"102686",NA
"10271","H962|Q768|R425|S243|Y239"
"10317",NA
"103720",NA
"103756","H646|H646|S205|S237|S991"
"104041",NA
"104055",NA
"10415","H962|Q884|S744|S996"
"104479","S991|T029|T029|T148|Y012"
"104485","H898|S991|S991|T148"
"104500","S991|T148"
"10494","X508"
"105085","H646|Y012"
"105175","S237|S996|T045"
"10530",NA
"10538",NA
"10540",NA
"10564","Y363|Y363|Y498|Y498"
"10583","T088|T088|T088|Y498|Y498|Y646"
"105939","H898|S996|T138"
"10612","H963|S243"
"10616","H962|T799|Y230"
"10617","H646|H646|H646|S197|S197|S197|Y012|Y012|Y012|Y231|Y231|Y231|Y280|Y280|Y678|Y678|Y678"
"10618","H646|S055|Y012|Y678|Y678"
"106398","H646|S991"
"106464",NA
"10650","S205|T045|T045|T138|T148|T148|T569"
"10653","T045|T138"
"10670","B440|T569"
"10671",NA
"10695","H898|R894"
"10937","Y231"
"10943","T800|T800"
"10954","B440|Y231"
"10956","B440|H643|R921|S237|S673|S673|S991|S991|Y231|Y231"
"11",NA
"11001","T603"
"11038","S205"
"11050","H713|T584|Y237"
"11081","R107|R107"
"11082","R107"
"11097","S197|S197"
"11103","Y234"
"11109","T584"
"11112","S143"
"11113","S143"
"11117","S143"
"111205","S103|S103|S103|T851|T851|T851|Y011|Y011|Y011|Y234|Y260|Y260|Y260"
"11124","S197|Y012"
"111284",NA
"111287",NA
"111302",NA
"111340","H905|Y260"
"111344","H713"
"111347","Y260"
"111357","H964|H964|R921|Y231"
"111395","H646|Q768|S197|S996|T148|Y202"
"111398","B440|H905|Q768|R699|R894|S197|S205|S673|S863|S960|S991|S996|T045|T148|T569|T849|Y012|Y202|Y260|Y330|Y678"
"111399","B458|H646|H905|S960|S996|T045|T148|X891|Y012"
"11140","H962|Q768|R510|S243|S801|S960|T799|T854|Y230|Y239|Y282|Y486"
"111409","B440|B458|H646|H941|S996|T029|T569|Y202"
"11141",NA
"111410","B458|H941|S197"
"111414","R114|Y012"
"111426","B536|H964|Q768|Y202"
"111427",NA
"111435","B440|H905|Q768|R699|S237|T029|T045|T138|T148|X891|Y012|Y239"
"111469","H905|Q884|S197|S801|T029|T045|Y678"
"111499","B440|H941|S996|T569|T603|Y202"
"111504",NA
"111506","B440|B458|H646|S205|S960|T045|T148"
"111507",NA
"111651","B476|B536|H646|P105|R114|Y202|Y486"
"111694","H996|R942"
"111715","S197|Y678"
"111719",NA
"111723",NA
"111727",NA
"111730","T003|Y281|Y281"
"111735","B440|B440|B458|B458|B476|B476|B476|B536|B536|B536|H905|H905|H964|P105|P105|P105|R699|R699|R921|R921|S051|S051|S051|S103|S416|S416|T603|T603|T603|T609|T609|T851|Y330|Y330"
"111740","B458|B476|H905|H964|H964|T609"
"111741","B440|H905|R921"
"111744","H898|H898"
"111745","H898"
"111749","B458|S416|T609"
"111750","H941|H964"
"111787","Y330|Y330"
"111814",NA
"111816","T569|T569"
"11182","H962|Q768|T003|Y694"
"1119","Y231|Y330"
"112","Q768|S960"
"11228","H713|Y281"
"11229","H713"
"11239","Y281"
"11242","R114|S237"
"11252","T045|T403"
"11258","H898|R114|S237|T138"
"11264","B440|B476|H898|R699|S197|T148|T250|T250|T569|Y012|Y012|Y678"
"11265","H898|T029|T148"
"11267",NA
"11268","B440|T045|T138"
"11273","H898|S237"
"11274","H898|H898|Q768|R894|S197|T045|T045|T138|T148|T569"
"11275","H898|Q768|T148|T569|Y012"
"11279","R894|T029|Y202"
"11306","H646|Q748"
"11335","T800|T859"
"11338","T798|T800|T850|T857|T859"
"11340","T800|T850|T859|X481"
"11383","S143|S143"
"11386",NA
"11390",NA
"11392","B440|B536|H898|R894|S197|S205|S960|X891|Y011|Y012|Y202|Y678"
"11436","X482|Y202|Y202"
"11445","H898|R699|S991|S996|T045|T148|T569|Y012"
"114531",NA
"114557",NA
"114560","S205"
"114562",NA
"114564",NA
"114566","H713"
"114585","Q768|Y282"
"114660","B536|Y012"
"11490","R921|T603"
"115475","H941|Y231"
"11579","S205"
"11583","R107|R921|S205|S205|S205|S991|T799|X891|X891|X891|Y231"
"11767","T045|T569|X891|Y012"
"11787",NA
"118331","H713|T088"
"118333","S103|S103"
"11836","R699|S197|T148|T569|Y678"
"118389","S299|T798|T800|T800|T850|T850|T857|T859|T859|X481|X814"
"11839","H898|T569"
"118408","T569|Y202"
"118409","Y202"
"118414","T569"
"118420","B440|Y012"
"118442","H646|Y281"
"118467","H646|T029"
"118468","R894|S960|T029|Y202"
"118469","B536|S205"
"118475",NA
"118479","H877"
"11848","S143"
"118482",NA
"118486","T250"
"11850","S143"
"118543",NA
"118544",NA
"118547","B527|B527|H877|H996|H996|P193|Q748|Q748|R942|R942|S055|S342|S863|T001|T005|T124|T131|T131|T133|T133|T584|T796|T849|T849|X482|X482|X508|Y202|Y237|Y237|Y256|Y256|Y280|Y280|Y330"
"118548",NA
"118549",NA
"118550","H941|R942|S991|S996|T138|T148|T609|Y231|Y231|Y231"
"118562","Q768|R114|R114|R510|R894|R909|S237|S237|S237|S960|T603|T603|X891"
"118564","R114|R894|S237|S237|T603|X891"
"11858","S143"
"11859","S143"
"118591","R114|R894|S237|T584|T603"
"118606","R894"
"118690","S863"
"11871","S863"
"118714","S863"
"118719","T148"
"118728","B440"
"118830","T138|T569"
"118890","S205|S205|T799|X891"
"118901","S205|S991"
"118907","S205"
"118908","S205|X891"
"118910","S205"
"118918","S205|X891"
"118985","H963|Q768"
"118986","Q768|Y239"
"118995","T250|Y239"
"119015","H643"
"119035","S744"
"119054",NA
"119064",NA
"119079",NA
"119080","S143|S744|Y260"
"119093","H713|R107|S103|S205|S744|S991|T148|Y678"
"119156","S205|S237"
"119185","S237|T138"
"119241","B440|B440|B440|B458|B458|B458|B476|B476|B476|B536|H905|H905|H905|H941|H941|H941|H964|H964|H964|P105|P105|R699|R699|R699|R921|S051|S051|S051|S416|T603|T609|T609|Y330|Y330"
"119246","B440|B440|B440|B458|B458|B458|B476|B476|B476|B536|B536|B536|H646|H905|H905|H905|H941|H941|H941|H964|H964|H964|P105|P105|P105|Q768|R699|R699|R699|R921|R921|R921|S051|S051|S051|S103|S416|S416|S416|T603|T603|T603|T609|T609|T609|T851|T851|X508|Y011|Y011|Y260|Y260|Y330|Y330|Y678"
"119248","B440|B440|B440|B458|B458|B476|B476|B476|B536|B536|B536|H905|H905|H905|H941|H941|H941|H964|H964|H964|P105|P105|P105|R699|R699|R699|R921|R921|S051|S051|S051|S416|S416|S416|T603|T603|T603|T609|T609|Y330|Y330"
"119262","B476|B536|B536|H941|H941|H964|H964|P105|P105|R699|R921|S051|S416|S416|T603|T609|T851|Y011|Y260|Y330|Y330|Y678"
"119274","R699|T609"
"11969","H905|H941|H964"
"11974","H996"
"119840","B440|B440|B476|B476|B527|B536|H898|R699|R699|S197|S197|T250|T250|Y012|Y012|Y678"
"119841","B458|B527|H646|H646|H905|T403|Y679|Y679"
"119853","B527|H643"
"119865","S237"
"119866","S237|S237"
"119867","S237|S237"
"119868","S237|S237"
"119949","T088|T138"
"119951",NA
"120032","H898|H898"
"120033",NA
"120034","H898|H898"
"120036","H898"
"120037","H898|H898"
"120038","H898|H898"
"120039","H898|H898"
"120040","H898|H898"
"120044",NA
"120048","H898"
"123897",NA
"123902","H646|S996"
"123903","T849|Y690"
"124024","H964|P105|T609"
"124060","B458|H646|H905|H964|S051|S416|Y678"
"124075","H713|H905"
"124086","H905|H905|P105|R921|S416|T603|Y330"
"124138","H905|H964"
"124199","H941"
"124202","H941"
"124231","B536|R921"
"124235","R699|T138"
"124250","H646|H941|S205"
"124268","B476|R921"
"124358","B440|H905"
"124401","B440|B458|B458|B458|B536"
"124844","B476|R699"
"125109","R699|R921|T603"
"125584","H898|H905|Y678"
"126085","B440|T569|Y012"
"13095","H643|H713|S863"
"13096","H713|S863"
"13099","H713|S863"
"13102","S243|S960|Y282|Y678"
"13152","H713"
"13153","H713"
"136406","B536|S197|T148|Y678"
"137119",NA
"138976","H643|Q884|S243|T150|T609|Y011|Y694|Y703"
"138979","R921|Y230"
"138991","T001"
"139005","Q884|Y011"
"139006",NA
"139008",NA
"139028","Q748|S051"
"139091","S673|T250|T799"
"139098","H962|T250"
"139212",NA
